ITEM   	 LEN_S 	
anglophile	   -  	
anglos	   -  	
angora	   3	
angst	   1	
angstroms	   -  	
anguish	   2	
anguishes	   -  	
angulation	   -  	
anhedonia	   -  	
anhedral	   -  	
anhydride	   -  	
animality	   -  	
animas	   -  	
animation	   4	
animations	   -  	
animator	   -  	
animators	   -  	
anime	   -  	
animists	   -  	
animosity	   5	
animus	   -  	
anion	   -  	
anions	   -  	
anise	   -  	
anisette	   -  	
ankh	   -  	
ankhs	   -  	
ankle	   2	
anklebone	   -  	
ankles	   2	
anklet	   -  	
anklets	   -  	
ankus	   -  	
ankylosis	   -  	
annals	   2	
annatto	   -  	
annexation	   4	
annexe	   2	
announcers	   -  	
annoyance	   3	
annoyances	   -  	
annoyer	   -  	
annuals	   2	
annuities	   -  	
annuity	   4	
annulment	   -  	
annulments	   -  	
annuls	   -  	
anode	   -  	
anomalies	   4	
anomaly	   4	
anonyme	   -  	
anonymity	   5	
anopheles	   -  	
anorexics	   -  	
anoscopy	   -  	
anosmia	   -  	
anoxia	   -  	
anschluss	   -  	
antacids	   -  	
antagonism	   5	
antagonist	   4	
anteater	   -  	
antebellum	   -  	
antelope	   3	
antelopes	   3	
antenna	   3	
antennae	   3	
antennas	   3	
anteroom	   3	
anterooms	   -  	
antes	   -  	
anthem	   2	
anthems	   -  	
anther	   -  	
anthers	   -  	
anthill	   -  	
anthills	   -  	
anthology	   4	
anthracite	   -  	
anthrax	   -  	
anthropoid	   3	
antibiotic	   5	
antibodies	   4	
antibody	   -  	
antichrist	   -  	
anticlimax	   4	
anticline	   -  	
antics	   2	
antidote	   3	
antidotes	   -  	
antigen	   -  	
antigens	   -  	
antigun	   -  	
antiheroes	   -  	
antihuman	   -  	
antimatter	   4	
antimony	   4	
antipasto	   -  	
antipathy	   4	
antiquity	   4	
antiserum	   -  	
antiship	   -  	
antithesis	   4	
antitoxin	   -  	
antivenin	   -  	
antivirals	   -  	
antivirus	   -  	
antler	   2	
antlers	   2	
antonyms	   -  	
antres	   -  	
antrum	   -  	
ants	   1	
anuses	   -  	
anvil	   2	
anvils	   -  	
anxieties	   4	
anxiety	   4	
anybodies	   -  	
anythings	   -  	
anytime	   -  	
aoli	   -  	
apaches	   3	
apartheid	   3	
apartment	   3	
apartments	   3	
apartness	   -  	
apathy	   3	
apatite	   -  	
apeman	   -  	
aperitif	   4	
aperitifs	   4	
aperture	   3	
apex	   2	
aphasia	   3	
aphid	   -  	
aphids	   2	
aphis	   -  	
aphonia	   -  	
aphorism	   4	
aphorisms	   -  	
apiary	   -  	
apices	   -  	
aplasia	   -  	
aplomb	   2	
apnea	   -  	
apocalypse	   4	
apogee	   3	
apologia	   4	
apologias	   -  	
apologies	   4	
apologist	   -  	
apologists	   4	
apology	   4	
apoplexy	   4	
apostate	   3	
apostles	   3	
apostolate	   -  	
apothecary	   -  	
apotheosis	   5	
appaloosa	   -  	
apparatus	   4	
apparel	   3	
apparition	   4	
appearance	   3	
appeaser	   -  	
appellant	   -  	
appendage	   3	
appendages	   4	
appendices	   4	
appendix	   3	
appendixes	   -  	
appetiser	   -  	
appetisers	   -  	
appetite	   3	
appetites	   3	
appetizer	   4	
appetizers	   -  	
applauders	   -  	
applause	   2	
apple	   2	
applecart	   -  	
applewood	   -  	
appliance	   3	
appliances	   4	
applicant	   3	
applicants	   3	
applicator	   -  	
appointee	   -  	
appointees	   3	
appraisal	   3	
appraisals	   -  	
appraiser	   -  	
appraisers	   -  	
apprentice	   3	
approval	   3	
approvals	   -  	
apr	   -  	
apraxia	   -  	
apricots	   3	
apriority	   -  	
apron	   2	
aprons	   2	
aptitude	   3	
aptitudes	   3	
aquacade	   -  	
aqualung	   -  	
aqualungs	   -  	
aquarians	   -  	
aquarium	   3	
aquariums	   -  	
aquatics	   -  	
aquavit	   -  	
aqueducts	   -  	
aquifer	   -  	
arabians	   -  	
arabs	   -  	
aragonite	   -  	
arbiters	   3	
arbitrage	   -  	
arbitrager	   -  	
arbitrator	   4	
arboretum	   -  	
arboretums	   -  	
arborist	   -  	
arbors	   -  	
arbs	   -  	
arcade	   2	
arcades	   2	
arcadians	   -  	
arcana	   -  	
arcanum	   -  	
archaism	   -  	
archdeacon	   3	
archduke	   -  	
archdukes	   -  	
archenemy	   -  	
archeology	   -  	
archery	   3	
archetypes	   3	
architects	   3	
architrave	   -  	
archives	   2	
archivist	   3	
archivists	   -  	
archway	   2	
archy	   -  	
arcsine	   -  	
arcturus	   -  	
ardency	   -  	
ardor	   -  	
ardors	   -  	
ardour	   2	
area	   2	
areas	   2	
areolas	   -  	
aretes	   -  	
arette	   -  	
arew	   -  	
argent	   -  	
argonaut	   -  	
argosies	   -  	
argot	   -  	
arguendo	   -  	
argument	   3	
arguments	   3	
argumentum	   -  	
argyles	   -  	
aria	   2	
aridity	   -  	
arioso	   -  	
aristocrat	   4	
aristos	   -  	
arithmetic	   4	
arizonans	   -  	
arks	   -  	
armada	   3	
armaments	   3	
armature	   -  	
armchair	   2	
armchairs	   2	
armenians	   -  	
armful	   2	
armfuls	   2	
armies	   2	
armload	   -  	
armlock	   -  	
armoire	   -  	
armorers	   -  	
armourer	   3	
armouries	   -  	
armoury	   3	
armpit	   2	
armpits	   2	
armrests	   -  	
aroma	   3	
aromas	   3	
arousal	   -  	
arpeggio	   4	
arpeggios	   4	
arr	   -  	
arrangers	   -  	
array	   2	
arrays	   2	
arrears	   2	
arrestee	   -  	
arrestment	   -  	
arrhythmia	   -  	
arrival	   3	
arrivals	   3	
arrogance	   3	
arrogancy	   -  	
arrowheads	   -  	
arrowing	   -  	
arrowroot	   -  	
arrows	   2	
arse	   1	
arsehole	   -  	
arseholes	   -  	
arsenals	   3	
arsenic	   3	
arses	   -  	
arson	   2	
arsonists	   -  	
arteries	   3	
arterioles	   -  	
arteritis	   -  	
artery	   3	
artha	   -  	
arthritis	   3	
arthropod	   -  	
artic	   -  	
artichokes	   3	
article	   3	
articles	   3	
artifacts	   3	
artifices	   -  	
artillery	   4	
artisan	   3	
artisans	   3	
artist	   2	
artiste	   2	
artistes	   2	
artistry	   3	
arts	   1	
artwork	   -  	
artworks	   -  	
aryans	   -  	
asafoetida	   -  	
asbestos	   3	
ascendancy	   4	
ascendant	   3	
ascenders	   -  	
ascent	   2	
ascents	   2	
ascetics	   -  	
ascites	   -  	
ascorbate	   -  	
ashcan	   -  	
ashcans	   -  	
ashes	   2	
ashram	   -  	
ashrams	   -  	
ashtray	   2	
ashtrays	   2	
asians	   -  	
asides	   2	
asker	   -  	
askings	   -  	
asmile	   -  	
asp	   -  	
aspect	   2	
aspects	   2	
aspens	   -  	
asperges	   -  	
aspersion	   -  	
aspersions	   3	
asphalt	   2	
asphyxia	   -  	
aspic	   2	
aspidistra	   4	
aspirants	   4	
aspiration	   4	
aspirin	   3	
aspirins	   3	
assai	   -  	
assailant	   3	
assailants	   3	
assassin	   3	
assassins	   3	
assaulters	   -  	
assayers	   -  	
assays	   -  	
assegai	   3	
assemblage	   3	
assemblers	   -  	
assemblies	   3	
assembly	   3	
assent	   2	
assertion	   3	
assertions	   3	
assessment	   3	
assessor	   3	
assessors	   3	
asset	   2	
assets	   2	
assholes	   -  	
assi	   -  	
assiette	   -  	
assignees	   -  	
assignment	   3	
assis	   -  	
assistance	   3	
assistants	   3	
assizes	   3	
assortment	   3	
assumption	   3	
assurance	   3	
assurances	   4	
assyrians	   -  	
astarboard	   -  	
asterisk	   -  	
asterisks	   -  	
asteroids	   3	
asthma	   2	
asthmatics	   -  	
astr	   -  	
astrodome	   -  	
astrogator	   -  	
astronomer	   4	
astronomy	   4	
astroscope	   -  	
astuteness	   -  	
asylums	   3	
asymmetry	   4	
asystole	   -  	
atavism	   -  	
atelier	   -  	
atheism	   4	
atheists	   3	
atheneum	   -  	
athenians	   -  	
athirst	   -  	
athlete	   2	
athletes	   2	
athletics	   3	
atlases	   3	
atm	   -  	
atman	   -  	
atmos	   -  	
atmosphere	   3	
atolls	   -  	
atom	   2	
atomics	   -  	
atomies	   -  	
atomiser	   -  	
atomizer	   -  	
atoms	   2	
atonality	   -  	
atonement	   3	
atonements	   -  	
atones	   -  	
atresia	   -  	
atria	   -  	
atrium	   -  	
atrocities	   4	
atrocity	   4	
atrophy	   3	
atropos	   -  	
attababy	   -  	
attache	   3	
attacher	   -  	
attachment	   3	
attackers	   3	
attainment	   3	
attar	   2	
attendance	   3	
attendants	   3	
attendee	   -  	
attendees	   -  	
attention	   3	
attentions	   3	
atticism	   -  	
attics	   2	
attitudes	   3	
attorn	   -  	
attorneys	   3	
attraction	   3	
attractor	   -  	
attractors	   -  	
attrition	   3	
attunement	   -  	
auctions	   2	
audace	   -  	
audibles	   -  	
audiences	   3	
audiometry	   -  	
audion	   -  	
audiophile	   -  	
audiotapes	   -  	
auditor	   3	
auditorium	   4	
auditors	   3	
auger	   -  	
auguries	   -  	
augury	   -  	
auh	   -  	
auk	   -  	
aunt	   1	
auntie	   2	
aunties	   2	
aunts	   1	
aura	   2	
auras	   -  	
aureole	   3	
aureomycin	   -  	
aureus	   -  	
auricle	   -  	
auspices	   3	
aussie	   -  	
aussies	   -  	
austerity	   4	
austral	   -  	
austrians	   -  	
auteur	   -  	
authoress	   3	
authors	   2	
authorship	   3	
autobahn	   3	
autobus	   -  	
autoclave	   -  	
autocracy	   4	
autocrat	   3	
autogiro	   -  	
autogiros	   -  	
autogyro	   -  	
autoharp	   -  	
autoimmune	   -  	
autolysis	   -  	
automaker	   -  	
automakers	   -  	
automatics	   -  	
automation	   4	
automatism	   -  	
automatons	   -  	
automats	   -  	
automobile	   4	
autonomy	   4	
autopsies	   -  	
autopsy	   3	
autos	   -  	
autumn	   2	
autumns	   -  	
avalanche	   3	
avalanches	   4	
avance	   -  	
avatar	   3	
avatars	   -  	
avenue	   3	
avenues	   3	
aversion	   3	
aviary	   -  	
aviation	   4	
aviator	   -  	
aviatrix	   -  	
avion	   -  	
avionics	   -  	
avo	   -  	
avocado	   4	
avocados	   4	
avocation	   -  	
avoidance	   3	
avoidances	   -  	
avoider	   -  	
avulsion	   -  	
awa	   -  	
awakener	   -  	
awakenings	   -  	
awardee	   -  	
awareness	   3	
awaste	   -  	
awfulness	   3	
awhirl	   -  	
awl	   -  	
awn	   -  	
awning	   2	
awnings	   2	
awork	   -  	
awreck	   -  	
axeman	   -  	
