numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
739	4840	15929	cuttlefish	10	4	9	4	0.19608	1.0414	0.047687	0.69897	Noun	1	10	1	Noun	10	2.3332	low	1	3	85.33	24.56	10	0	
50	212	766	adjutant	45	26	36	20	0.88235	1.6628	0.30997	1.4314	Noun	1	45	1	Noun	45	2.9546	high	2	3	343.77	41.14	8	0	
351	2014	6629	blog	33	25	32	25	0.64706	1.5315	0.29804	1.415	Noun	1	33	1	Noun	33	2.8233	high	2	1	152	13	4	7	
2932	19813	67225	trait	55	54	55	54	1.0784	1.7482	0.64378	1.7404	Noun	1	55	1	Noun	55	3.04	high	2	1	1019.19	43.5	5	3	
2259	15030	49952	pres	19	13	7	6	0.37255	1.301	0.15498	1.1461	Noun	1	13	1	Noun	13	2.5929	low	1	1	761.68	19	4	5	
3821	29198	67018	toughed	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	1	2087.21	205	7	5	
2990	20233	68997	underclass	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	1	3	1	Noun	3	1.8939	low	1	3	442.37	56.78	10	0	
380	2281	7468	bourn	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	1	2375.85	33.25	5	1	
1773	11736	39399	masterwork	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	205.22	41.89	10	0	
2665	17647	59678	slang	71	55	65	52	1.3922	1.8573	0.6557	1.7482	Noun	1	71	1	Noun	71	3.1492	high	2	1	1942.76	46.75	5	4	
1788	11867	39822	megabyte	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	208.07	29.57	8	0	
3664	27365	52921	reconquer	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Verb	2	2	1	Verb	2	1.769	low	1	3	397.22	60.75	9	0	
821	5301	17676	detachment	65	49	54	41	1.2745	1.8195	0.58417	1.699	Noun	1	65	1	Noun	65	3.1114	high	2	3	551.42	53.22	10	0	
2935	19826	67306	transducer	10	7	9	7	0.19608	1.0414	0.083453	0.90309	Noun	1	10	1	Noun	10	2.3332	low	1	3	128.79	35.11	10	0	
228	1106	3501	assistance	558	447	532	429	10.9412	2.7474	5.329	2.6513	Noun	1	557	1	Noun	557	4.0392	high	2	3	413.94	47.44	10	0	
1393	9173	30508	hilt	28	27	28	27	0.54902	1.4624	0.32189	1.4472	Noun	1	28	1	Noun	28	2.7542	low	1	1	1387	24	4	9	
1927	12846	42942	neophyte	8	8	7	7	0.15686	0.95424	0.095374	0.95424	Noun	1	8	1	Noun	8	2.2461	low	1	3	175.03	28.86	8	0	
2271	15120	50293	prix	29	17	2	2	0.56863	1.4771	0.20267	1.2553	Noun	1	29	1	Noun	29	2.769	high	2	1	69.83	9.33	4	2	
3750	28246	58370	sheathe	5	5	4	4	0.098039	0.77815	0.059609	0.77815	Verb	2	5	1	Verb	5	2.07	low	1	1	462.91	43.83	7	1	
2235	14951	49579	pox	75	54	74	53	1.4706	1.8808	0.64378	1.7404	Noun	1	76	1	Noun	76	3.1726	high	2	1	74.1	4.5	3	8	
2373	15700	52345	rationale	19	19	19	19	0.37255	1.301	0.22651	1.301	Noun	1	19	1	Noun	19	2.5929	low	1	3	252.03	46.63	9	0	
1202	7642	25770	franc	41	27	36	22	0.80392	1.6232	0.32189	1.4472	Noun	1	41	1	Noun	41	2.9151	high	2	1	729.6	38	5	1	
1727	11406	38341	lymph	14	12	14	12	0.27451	1.1761	0.14306	1.1139	Noun	1	14	1	Noun	14	2.4679	low	1	1	45.49	9	5	1	
3627	27082	50725	prosecute	144	117	141	116	2.8235	2.1614	1.3948	2.0719	Verb	2	144	1	Verb	144	3.4532	high	2	3	465.11	56.75	9	0	
583	3938	12581	collision	137	100	118	90	2.6863	2.1399	1.1922	2.0043	Noun	1	136	1	Noun	136	3.4317	high	2	3	1050.63	112.75	9	1	
1608	10535	35734	kitchener	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	270.79	50.13	9	0	
3093	20967	72200	waterworks	23	20	20	18	0.45098	1.3802	0.23844	1.3222	Noun	1	23	1	Noun	23	2.672	low	1	3	266.12	36.22	10	0	
2086	13817	46237	paragon	15	14	14	14	0.29412	1.2041	0.16691	1.1761	Noun	1	15	1	Noun	15	2.496	low	1	3	736.08	69.67	7	0	
2183	14567	48502	plaque	106	65	102	63	2.0784	2.0294	0.77492	1.8195	Noun	1	106	1	Noun	106	3.3212	high	2	1	351.66	29.2	6	1	
1863	12386	41478	monologue	58	37	57	36	1.1373	1.7709	0.44111	1.5798	Noun	1	58	1	Noun	58	3.0627	high	2	3	237.1	34.25	9	0	
2794	18785	64023	surety	7	6	7	6	0.13725	0.90309	0.071531	0.8451	Noun	1	7	1	Noun	7	2.1949	low	1	3	827.73	53.6	6	1	
1216	7712	26057	frist	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	1143.9	38.25	5	4	
446	2881	9304	cannabis	23	20	21	18	0.45098	1.3802	0.23844	1.3222	Noun	1	23	1	Noun	23	2.672	low	1	3	225.31	40.29	8	0	
374	2251	7376	botany	20	19	17	16	0.39216	1.3222	0.22651	1.301	Noun	1	20	1	Noun	20	2.6141	low	1	3	468.35	37.2	6	0	
1300	8399	28163	grape	204	137	163	116	4	2.3118	1.6333	2.1399	Noun	1	204	1	Noun	204	3.6036	high	2	1	764.32	39.75	5	8	
1321	8576	28759	guile	52	27	49	25	1.0196	1.7243	0.32189	1.4472	Noun	1	52	1	Noun	52	3.0161	high	2	1	1414.74	31	5	4	
1057	6662	22523	evidence	4335	1755	4177	1721	85	3.6371	20.9227	3.2445	Noun	1	4332	1	Noun	4332	4.9289	high	2	3	700.81	38.57	8	0	
3486	25676	36070	lacerate	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	3	556.48	74.43	8	0	
2782	18672	63607	suggestion	622	519	617	517	12.1961	2.7945	6.1874	2.716	Noun	1	622	1	Noun	622	4.0863	high	2	3	990.39	119.89	10	0	
2571	16804	56930	schlock	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	1	6	1	Noun	6	2.1369	low	1	1	151.42	27.83	7	0	
3006	20323	70362	upbringing	59	56	59	56	1.1569	1.7782	0.66762	1.7559	Noun	1	59	1	Noun	59	3.07	high	2	3	465.94	125.67	10	0	
749	4902	16086	dal	15	7	0	0	0.29412	1.2041	0.083453	0.90309	Noun	1	15	1	Noun	15	2.496	low	1	1	407.2	3	3	6	
1700	11193	37695	location	1263	823	1213	799	24.7647	3.1017	9.8116	2.9159	Noun	1	1258	1	Noun	1258	4.3936	high	2	3	921.47	87.43	8	1	
1204	7653	25831	fraud	512	342	492	332	10.0392	2.7101	4.0773	2.5353	Noun	1	512	1	Noun	512	4.002	high	2	1	456.04	27.75	5	0	
268	1295	4180	ayes	9	9	9	9	0.17647	1	0.1073	1	Noun	1	9	1	Noun	9	2.2918	low	1	1	629.94	12	4	7	
2541	16534	56105	sadism	9	8	9	8	0.17647	1	0.095374	0.95424	Noun	1	9	1	Noun	9	2.2918	low	1	3	262.54	38.6	6	1	
2882	19388	65964	thief	1238	704	1143	670	24.2745	3.0931	8.3929	2.8482	Noun	1	1236	1	Noun	1236	4.3849	high	2	1	4869.56	26	5	1	
2347	15483	51629	quart	106	77	100	74	2.0784	2.0294	0.91798	1.8921	Noun	1	105	1	Noun	105	3.3212	high	2	1	1125.3	28	5	0	
1958	13053	43662	noose	111	89	111	89	2.1765	2.0492	1.061	1.9542	Noun	1	110	1	Noun	110	3.3411	high	2	1	1751.33	37.25	5	4	
1341	8688	29073	hafnium	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	316.78	35.5	7	0	
287	1434	4585	ballplayer	32	22	31	21	0.62745	1.5185	0.26228	1.3617	Noun	1	32	1	Noun	32	2.8103	high	2	3	73.24	25.89	10	0	
906	5660	19205	divorcee	24	21	22	19	0.47059	1.3979	0.25036	1.3424	Noun	1	24	1	Noun	24	2.6898	low	1	3	347.01	43.71	8	2	
29	105	422	accrual	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	435.33	26.67	7	0	
480	3115	9970	catacomb	5	4	3	3	0.098039	0.77815	0.047687	0.69897	Noun	1	5	1	Noun	5	2.07	low	1	3	277.97	37.57	8	0	
3637	27228	52336	ratify	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Verb	2	6	1	Verb	6	2.1369	low	1	3	745.44	40.6	6	0	
3262	23277	16659	decompose	24	20	23	19	0.47059	1.3979	0.23844	1.3222	Verb	2	24	1	Verb	24	2.6898	low	1	3	305.46	39.5	9	0	
3256	23146	15327	croon	12	9	12	9	0.23529	1.1139	0.1073	1	Verb	2	12	1	Verb	12	2.4058	low	1	1	864.74	44.5	5	2	
936	5893	19866	drawer	663	462	654	456	13	2.8222	5.5079	2.6656	Noun	1	662	1	Noun	662	4.114	high	2	1	1605.16	113	6	1	
1638	10786	36498	lauds	2	1	1	1	0.039216	0.47712	0.011922	0.30103	Noun	1	2	1	Noun	2	1.769	low	1	1	778.89	32.5	5	1	
1830	12137	40667	min	219	60	38	30	4.2941	2.3424	0.71531	1.7853	Noun	1	207	1	Noun	207	3.6343	high	2	1	97.48	7	3	14	
