ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
schnapps	  52.14	  16.29	   8.09	   1.16	   8	   0	   2	-1	-1	-1	-1	
sciences	 550.91	 100.00	  16.77	   2.40	   8	   0	   1	-1	-1	-1	-1	
scientists	 261.02	  47.22	  21.23	   2.36	  10	   0	   1	-1	-1	-1	-1	
sclerosis	 225.44	  42.63	  13.86	   1.73	   9	   0	   0	-1	-1	-1	-1	
scones	1042.73	  99.80	  13.15	   2.63	   6	   3	   6	-1	-1	-1	-1	
scope	 165.19	  18.50	   8.59	   2.15	   5	   3	   5	 570	-1	 191	-1	
scorn	 307.13	  21.75	   9.33	   2.33	   5	   4	  14	 471	-1	 364	-1	
scorns	 259.86	  35.20	  10.86	   2.17	   6	   2	   7	-1	-1	-1	-1	
scourge	 507.45	  35.17	  14.62	   2.44	   7	   0	   4	-1	-1	-1	-1	
scraps	 336.10	  27.60	  12.19	   2.44	   6	   2	   4	-1	-1	-1	-1	
scree	 543.14	  26.00	  10.16	   2.54	   5	   2	   7	-1	-1	-1	-1	
scribe	 443.77	  28.20	   8.94	   1.79	   6	   0	   3	-1	-1	-1	-1	
scribes	 737.83	 108.00	  14.68	   2.45	   7	   1	   3	-1	-1	-1	-1	
scruff	 225.79	  16.60	   8.43	   1.69	   6	   0	   3	-1	-1	-1	-1	
scrum	 108.95	  14.00	   7.32	   1.83	   5	   3	   7	 492	-1	 502	-1	
scrums	 272.56	  22.20	  11.59	   2.32	   6	   1	   4	-1	-1	-1	-1	
scrutiny	1192.61	 175.71	  16.87	   2.41	   8	   0	   0	-1	-1	-1	-1	
scullery	 362.04	  70.86	  15.43	   2.20	   8	   0	   0	-1	-1	-1	-1	
scythe	 213.60	  18.60	   8.18	   1.64	   6	   0	  10	-1	-1	-1	-1	
seam	1855.78	  33.33	   8.87	   2.96	   4	   9	  14	-1	-1	 555	-1	
seances	1314.11	 135.50	  17.81	   2.97	   7	   1	   0	-1	-1	-1	-1	
seas	1824.43	  30.33	   8.41	   2.80	   4	   9	  24	-1	-1	-1	-1	
seawater	 801.78	  98.86	  18.00	   2.57	   8	   0	   0	-1	-1	-1	-1	
secession	 842.82	  82.88	  22.59	   2.82	   9	   1	   1	-1	-1	-1	-1	
seclusion	 796.17	  76.75	  22.02	   2.75	   9	   0	   0	-1	-1	-1	-1	
secrecy	 758.68	  38.00	  15.38	   2.56	   7	   0	   0	-1	-1	-1	-1	
secretion	1105.83	 112.88	  23.26	   2.91	   9	   0	   1	-1	-1	-1	-1	
secretions	 355.15	  64.22	  21.78	   2.42	  10	   0	   1	-1	-1	-1	-1	
secs	 440.68	  12.33	   5.91	   1.97	   4	   5	  16	-1	-1	-1	-1	
sect	 617.76	  12.33	   7.85	   2.62	   4	   4	  13	-1	 611	-1	 250	
sedation	 995.62	  94.86	  18.73	   2.68	   8	   1	   1	-1	-1	-1	-1	
sedatives	 585.53	  75.38	  18.74	   2.34	   9	   0	   1	-1	-1	-1	-1	
sediment	 512.07	  56.29	  18.16	   2.59	   8	   1	   1	-1	-1	-1	-1	
sedition	1096.05	  98.71	  20.29	   2.90	   8	   1	   2	-1	-1	-1	-1	
seducer	 983.12	  81.67	  15.72	   2.62	   7	   2	   0	-1	-1	-1	-1	
seduction	 956.63	 102.38	  21.37	   2.67	   9	   2	   3	 628	-1	 521	-1	
seductions	 291.86	  54.11	  20.90	   2.32	  10	   2	   3	-1	-1	-1	-1	
selection	1081.46	 112.25	  23.28	   2.91	   9	   0	   2	 439	-1	 311	-1	
selections	 349.34	  60.44	  22.30	   2.48	  10	   0	   2	-1	-1	-1	-1	
selector	 417.19	  44.29	  17.93	   2.56	   8	   0	   2	-1	-1	-1	-1	
selectors	 481.84	  70.88	  21.22	   2.65	   9	   0	   2	-1	-1	-1	-1	
selenium	 421.80	  57.29	  16.10	   2.30	   8	   0	   0	-1	-1	-1	-1	
selves	1273.36	 110.00	  14.57	   2.91	   6	   2	   5	-1	-1	-1	-1	
semantics	 570.81	  73.38	  19.90	   2.49	   9	   0	   1	-1	-1	-1	-1	
semaphore	 298.24	  35.25	  18.67	   2.33	   9	   0	   0	-1	-1	-1	-1	
seminar	 569.03	  38.83	  15.65	   2.61	   7	   1	   1	-1	-1	-1	-1	
seminars	 566.08	  77.29	  19.01	   2.72	   8	   1	   1	-1	-1	-1	-1	
senators	 432.18	  78.43	  17.68	   2.53	   8	   0	   1	-1	-1	-1	-1	
sensation	1043.16	 115.38	  22.16	   2.77	   9	   0	   2	-1	-1	 394	-1	
sensations	 315.89	  60.22	  20.76	   2.31	  10	   0	   1	-1	-1	-1	-1	
sentiment	 759.08	  70.25	  21.77	   2.72	   9	   0	   1	 514	-1	 365	-1	
sentiments	 305.32	  57.78	  20.45	   2.27	  10	   0	   1	-1	-1	-1	-1	
sentinel	 615.49	  76.71	  18.43	   2.63	   8	   0	   1	-1	-1	-1	-1	
sequences	 476.11	  73.13	  17.92	   2.24	   9	   0	   0	-1	-1	-1	-1	
serf	2474.52	  15.33	   7.96	   2.65	   4	   2	   6	-1	-1	-1	-1	
serfs	 323.14	  22.25	   6.88	   1.72	   5	   0	   3	-1	-1	-1	-1	
servicemen	 144.14	  26.44	  15.50	   1.72	  10	   0	   0	-1	-1	-1	-1	
services	 736.07	 108.57	  19.39	   2.77	   8	   1	   2	-1	-1	-1	-1	
servitude	 328.03	  42.38	  18.41	   2.30	   9	   0	   1	-1	-1	-1	-1	
settlement	 528.56	  48.56	  21.41	   2.38	  10	   0	   0	 478	-1	 457	-1	
sexiness	 580.60	  85.71	  16.34	   2.33	   8	   0	   0	-1	-1	-1	-1	
sexism	 442.75	  30.80	  10.67	   2.13	   6	   1	   0	-1	-1	-1	-1	
shacks	 697.24	  51.40	  13.68	   2.74	   6	   8	  15	-1	-1	-1	-1	
shafts	 735.13	  57.00	  11.89	   2.38	   6	   1	   3	-1	-1	-1	-1	
shale	1327.33	  41.25	  12.42	   3.11	   5	  11	  26	-1	-1	-1	-1	
shank	1334.81	  42.00	  12.46	   3.12	   5	   5	  12	-1	-1	-1	-1	
shards	 808.78	  54.60	  13.78	   2.76	   6	   2	   5	-1	-1	-1	-1	
sharks	 758.82	  53.60	  13.10	   2.62	   6	   5	   8	-1	-1	-1	-1	
shawl	 658.19	  29.00	   9.50	   2.37	   5	   1	  18	 331	-1	 576	-1	
shawls	 622.69	  45.40	  12.40	   2.48	   6	   0	   8	-1	-1	-1	-1	
sheaf	3207.17	  33.25	  11.08	   2.77	   5	   2	   8	-1	-1	-1	-1	
shears	 795.65	  66.00	  14.14	   2.83	   6	   3	  21	-1	-1	-1	-1	
sheath	 676.01	  43.80	  13.76	   2.75	   6	   0	   5	-1	-1	-1	-1	
sheaths	 463.02	  45.00	  14.61	   2.43	   7	   0	   3	-1	-1	-1	-1	
sheaves	 978.02	 118.83	  16.32	   2.72	   7	   1	   6	-1	-1	-1	-1	
sheep	2981.34	  33.00	  12.47	   3.12	   5	   6	  11	 199	 208	 641	-1	
sheet	2997.59	  38.25	  12.59	   3.15	   5	   5	  13	 251	-1	 594	-1	
sheikh	 438.35	  23.40	   9.86	   1.97	   6	   0	  20	-1	-1	-1	-1	
shelf	2782.45	  27.50	  10.90	   2.72	   5	   2	   7	 282	-1	 571	-1	
shells	 674.37	  47.40	  13.61	   2.72	   6	   3	  15	-1	-1	-1	-1	
shins	3730.34	  59.50	  13.67	   3.42	   5	   9	  11	-1	-1	-1	-1	
shirt	2539.93	  36.50	  12.59	   3.15	   5	   4	  11	 269	-1	 612	-1	
shirts	 852.41	  59.60	  14.16	   2.83	   6	   4	   8	-1	-1	-1	-1	
shoal	1325.66	  36.75	  11.55	   2.89	   5	   0	  19	-1	-1	-1	-1	
shoals	 898.74	  51.00	  13.07	   2.61	   6	   0	  14	-1	-1	-1	-1	
shoemakers	 134.92	  32.33	  13.88	   1.54	  10	   0	   1	-1	-1	-1	-1	
shopkeeper	  63.63	  20.67	  13.56	   1.51	  10	   0	   0	-1	 329	-1	 595	
shortages	 390.52	  72.50	  18.19	   2.27	   9	   0	   0	-1	-1	-1	-1	
shorts	1076.90	  65.80	  14.37	   2.87	   6	   7	  13	-1	-1	-1	-1	
