ITEM   	  CELEX  	 BF_TK 	 BF_TP 	 LEN_L 	   N   	
kilogram	   2.35	  98.67	  19.00	   8	   0	
kilowatt	   1.17	 153.12	  31.43	   8	   0	
kilt	   1.45	1448.42	  24.33	   4	   9	
kimono	   1.23	 495.55	  21.80	   6	   0	
kindler	   0.00	1151.04	 134.83	   7	   1	
kinetics	   0.00	 584.39	  65.86	   8	   0	
kingfisher	   0.00	 116.96	  28.56	  10	   0	
kingmaker	   0.00	 115.62	  29.38	   9	   0	
kitchener	   0.00	 270.79	  50.13	   9	   0	
kite	   3.02	2971.81	  19.67	   4	   6	
kitsch	   0.56	 498.16	  21.20	   6	   1	
knack	   2.96	 795.95	  25.50	   5	   2	
knave	   0.45	 513.23	  19.00	   5	   0	
knell	   0.39	 736.44	  18.50	   5	   3	
knorr	   0.00	 414.20	  14.75	   5	   0	
kops	   0.00	 176.73	  14.67	   4	   6	
lab	   9.94	 196.03	   7.00	   3	  14	
laborer	   0.00	 916.85	  85.17	   7	   0	
labrador	   0.00	 140.09	  28.29	   8	   0	
labyrinth	   1.79	 199.53	  33.75	   9	   0	
lackluster	   0.00	 181.08	  43.67	  10	   0	
lactation	   0.56	 997.19	 113.38	   9	   0	
lad	  10.39	3494.08	  10.00	   3	  20	
ladino	   0.00	1114.92	  73.00	   6	   1	
lait	   0.00	2026.92	  28.33	   4	   7	
lamina	   0.00	1300.69	  73.80	   6	   0	
lamp	  21.28	1288.74	  23.33	   4	   8	
lan	   0.00	1870.08	   9.00	   3	  18	
landlady	   6.54	 228.38	  48.14	   8	   0	
landowner	   2.96	 256.80	  48.75	   9	   0	
landscaper	   0.00	  98.15	  32.22	  10	   2	
lanolin	   0.00	 284.60	  37.00	   7	   0	
larch	   1.17	1900.46	  43.50	   5	   3	
latecomer	   0.00	 349.27	  48.25	   9	   0	
latency	   0.61	 532.53	  44.00	   7	   0	
lath	   0.34	3397.56	  23.33	   4	   7	
latitude	   2.12	 496.59	  47.00	   8	   0	
laudanum	   0.34	 222.07	  25.14	   8	   0	
lauds	   0.00	 778.89	  32.50	   5	   1	
launderer	   0.00	 236.65	  57.00	   9	   1	
launderers	   0.00	 161.31	  47.78	  10	   0	
lawbreaker	   0.00	  77.58	  20.33	  10	   0	
lawmaker	   0.00	 395.47	  39.43	   8	   0	
lawn	  20.56	1104.63	  19.67	   4	   7	
lawnmower	   0.00	  79.09	  21.50	   9	   0	
laxity	   0.34	 352.04	  36.00	   6	   0	
layaway	   0.00	 123.79	  20.50	   7	   0	
layering	   0.39	1887.62	 283.43	   8	   0	
layperson	   0.00	 474.53	  53.63	   9	   0	
laziness	   2.01	 526.23	  80.29	   8	   0	
leadership	  40.11	 226.28	  32.33	  10	   1	
lecithin	   0.00	 412.62	  37.14	   8	   0	
lecturer	   9.16	 914.12	  87.43	   8	   2	
ledge	   8.27	 555.07	  24.00	   5	   4	
legacy	   7.09	 307.55	  20.40	   6	   0	
legalese	   0.00	 436.56	  66.86	   8	   0	
leitmotif	   0.00	  51.98	  15.13	   9	   0	
lek	   0.00	 307.65	   3.00	   3	   6	
lemonade	   2.91	 228.97	  32.29	   8	   0	
leniency	   0.45	 536.53	  48.29	   8	   0	
lens	   6.42	1058.98	  27.00	   4	  13	
leotard	   0.00	 596.41	  40.00	   7	   1	
lep	   0.00	 310.95	   4.50	   3	  12	
leprosy	   1.06	 266.55	  25.67	   7	   0	
lethargy	   1.73	 244.09	  25.71	   8	   0	
letterhead	   0.45	 170.10	  29.33	  10	   0	
lettering	   3.24	1316.08	 242.38	   9	   1	
leu	   0.00	 307.65	   3.00	   3	   6	
leukocyte	   0.00	  75.33	  18.88	   9	   0	
leverage	   2.57	 494.05	  61.29	   8	   1	
levity	   0.39	 633.28	  42.60	   6	   0	
lexicon	   0.39	 423.87	  31.83	   7	   0	
liaison	   8.99	 398.49	  32.50	   7	   0	
libido	   1.01	 465.51	  18.40	   6	   0	
library	  52.63	 477.04	  42.00	   7	   0	
libration	   0.00	 966.93	 108.88	   9	   1	
libretto	   0.45	  97.75	  22.43	   8	   0	
licensee	   0.00	 298.86	  44.71	   8	   2	
licensure	   0.00	 344.36	  34.63	   9	   0	
lid	  13.74	 747.20	   6.50	   3	  13	
ligament	   0.84	 418.95	  50.71	   8	   0	
ligation	   0.00	 960.88	  92.14	   8	   1	
likelihood	  10.28	 101.17	  18.00	  10	   1	
limb	   7.65	1826.31	  15.00	   4	   3	
lime	   8.49	4096.24	  18.67	   4	  12	
limousine	   2.51	 697.35	 126.13	   9	   0	
linch	   0.00	1832.38	  46.75	   5	   6	
lineage	   1.73	 648.83	  50.17	   7	   1	
linebacker	   0.00	  82.77	  24.00	  10	   0	
listener	   5.59	 988.87	 100.43	   8	   1	
litany	   1.51	 862.68	  33.20	   6	   0	
lites	   0.00	2010.11	  85.00	   5	  10	
lithium	   0.61	 607.85	  28.17	   7	   0	
lithograph	   0.00	  84.68	  16.00	  10	   0	
liturgy	   1.12	 334.38	  25.17	   7	   0	
livelihood	   3.97	 163.23	  21.56	  10	   1	
livery	   3.18	 844.86	  54.60	   6	   2	
loam	   1.17	1056.29	  24.67	   4	   6	
lobbyist	   0.00	 185.05	  41.71	   8	   0	
lobe	   2.29	 885.01	  16.67	   4	   7	
location	  16.70	 921.47	  87.43	   8	   1	
locator	   0.00	 529.62	  33.00	   7	   0	
loge	   0.00	 967.35	  17.33	   4	   7	
logistics	   1.23	 446.44	  68.75	   9	   0	
lollipop	   0.34	 231.64	  35.71	   8	   0	
londoner	   0.00	 765.46	  80.00	   8	   0	
loneliness	  11.34	 253.91	  66.00	  10	   1	
longe	   0.00	 663.00	  36.00	   5	   3	
longitude	   0.34	 314.27	  41.25	   9	   0	
lookalike	   0.00	 124.51	  38.13	   9	   0	
lore	   2.57	5048.20	  36.00	   4	  17	
loss	  78.27	1895.01	  24.33	   4	  12	
lottery	   1.68	1229.90	 108.00	   7	   1	
loupe	   0.00	2313.86	  27.50	   5	   2	
lour	   0.00	2334.48	  21.00	   4	   9	
louse	   1.06	3566.50	  42.25	   5	   6	
lout	   0.78	1632.30	  21.33	   4	   9	
lovemaking	   1.17	 541.68	 120.89	  10	   0	
loyalty	  18.21	 399.03	  27.67	   7	   2	
lubricant	   0.00	 447.76	  49.88	   9	   0	
lullaby	   0.67	 299.45	  38.00	   7	   0	
lumbago	   0.00	 231.66	  28.00	   7	   0	
lumberman	   0.00	 214.49	  37.75	   9	   0	
lumberyard	   0.39	 118.48	  23.11	  10	   0	
luminal	   0.00	 578.48	  43.50	   7	   0	
lunacy	   1.96	 170.28	  20.60	   6	   0	
lute	   1.06	 358.12	  16.67	   4	   5	
lymph	   0.73	  45.49	   9.00	   5	   1	
lymphocyte	   0.00	  85.78	  17.33	  10	   0	
lymphoma	   0.89	 114.54	  17.86	   8	   0	
lynx	   0.67	   0.67	   1.00	   4	   0	
lyre	   0.00	2628.90	  14.33	   4	   6	
lyricist	   0.00	 299.95	  55.14	   8	   1	
mach	   0.00	3192.87	  22.00	   4	   7	
mackerel	   6.26	 597.26	  77.43	   8	   0	
macrame	   0.00	 309.17	  36.00	   7	   0	
magnetics	   0.00	 433.56	  67.38	   9	   0	
magnitude	   5.70	 201.54	  33.25	   9	   0	
maid	  12.68	3542.57	  26.33	   4	   7	
maize	   6.26	 382.42	  26.00	   5	   1	
majesty	   6.03	 352.78	  33.50	   7	   0	
malady	   0.73	 600.13	  45.00	   6	   0	
malamute	   0.00	 268.55	  43.00	   8	   0	
mall	   9.66	3750.48	  38.00	   4	  15	
malt	   4.02	1971.54	  29.67	   4	   7	
mam	   2.63	1132.61	   9.00	   3	  18	
mammogram	   0.00	 115.40	  22.13	   9	   0	
mandala	   0.00	 399.49	  55.83	   7	   0	
mandarin	   1.62	 337.79	  51.00	   8	   0	
mandible	   0.39	 628.42	  66.43	   8	   0	
mane	   2.51	2634.86	  36.67	   4	  17	
manganese	   0.78	 255.91	  64.50	   9	   0	
mania	   1.62	 485.08	  32.75	   5	   4	
manicure	   0.67	 375.50	  50.14	   8	   0	
mannerist	   0.00	 505.44	  88.25	   9	   1	
manpower	   7.43	 560.76	  63.00	   8	   0	
mantilla	   0.00	 366.69	  53.14	   8	   0	
manuscript	   8.32	 152.10	  33.67	  10	   0	
marabou	   0.00	 521.54	  59.83	   7	   0	
marathon	  10.84	 621.12	  71.29	   8	   0	
marigold	   0.78	 268.46	  52.86	   8	   0	
marimba	   0.00	 605.89	  56.00	   7	   0	
maritimes	   0.00	 709.01	  94.25	   9	   0	
marketeer	   0.00	 221.57	  55.25	   9	   0	
marketeers	   0.56	 197.72	  43.00	  10	   0	
marketer	   0.00	 757.79	 103.43	   8	   1	
martyrdom	   1.96	 157.14	  33.75	   9	   0	
marxism	   0.00	 509.43	  60.00	   7	   0	
mascara	   0.84	 371.78	  46.50	   7	   0	
masochist	   0.39	 319.37	  51.00	   9	   1	
masonry	   3.74	 463.08	  47.17	   7	   0	
massager	   0.00	 571.59	  63.86	   8	   1	
mast	   2.57	4033.18	  34.67	   4	  16	
masterwork	   0.00	 205.22	  41.89	  10	   0	
mastery	   4.97	1257.80	 129.50	   7	   2	
math	   0.95	4006.73	  23.33	   4	  10	
matinee	   2.07	 624.58	  64.50	   7	   0	
matriarch	   0.00	 178.21	  39.38	   9	   1	
matte	   0.00	1080.64	  39.75	   5	   0	
maxilla	   0.00	 289.27	  27.17	   7	   0	
meal	  53.07	1889.63	  31.33	   4	  12	
meat	  71.51	6858.02	  32.00	   4	  13	
mech	   0.00	1277.45	  11.00	   4	   4	
medalist	   0.00	 351.18	  80.43	   8	   0	
medallion	   0.84	 612.50	  82.50	   9	   0	
medicine	  32.35	1069.68	 158.43	   8	   0	
medico	   0.00	 396.97	  31.20	   6	   1	
medio	   0.00	 241.44	  13.75	   5	   2	
megabyte	   0.00	 208.07	  29.57	   8	   0	
megahertz	   0.00	 132.14	  26.38	   9	   0	
megaphone	   0.39	 252.62	  35.25	   9	   0	
megaton	   0.61	 477.20	  40.67	   7	   0	
meiosis	   0.00	 204.59	  14.67	   7	   0	
melanin	   0.00	 525.66	  37.50	   7	   0	
membership	  33.46	 227.63	  30.44	  10	   0	
memento	   1.40	 544.47	  28.33	   7	   0	
menopause	   1.79	 146.30	  25.88	   9	   0	
mensch	   0.00	 380.32	  35.40	   6	   0	
merino	   0.00	1420.00	  83.20	   6	   0	
merrimack	   0.00	 208.48	  41.13	   9	   0	
messenger	   5.53	 327.48	  62.88	   9	   0	
messiah	   5.92	 612.99	  45.33	   7	   0	
mestizo	   0.00	 910.35	  71.67	   7	   0	
metairie	   0.00	 223.77	  25.71	   8	   0	
metalwork	   0.89	 151.46	  35.38	   9	   0	
metaphor	   5.25	 173.53	  26.57	   8	   0	
metering	   0.00	2033.45	 295.29	   8	   0	
methanol	   1.79	 259.19	  26.14	   8	   0	
methylene	   0.00	 312.42	  45.75	   9	   0	
mets	   0.00	 522.15	  23.67	   4	  12	
miasma	   0.50	 191.60	  24.00	   6	   0	
microchip	   0.00	  90.93	  22.13	   9	   0	
microfiche	   0.50	  84.25	  21.00	  10	   0	
microgram	   0.00	  79.32	  21.63	   9	   0	
microscope	   5.87	  70.73	  18.44	  10	   1	
microwave	   2.01	 161.51	  29.88	   9	   0	
middleman	   0.34	  95.20	  21.00	   9	   1	
midmorning	   0.61	 485.04	 131.33	  10	   0	
midseason	   0.00	 358.21	  41.13	   9	   0	
midsection	   0.00	 926.66	 119.56	  10	   0	
midshipman	   0.00	  34.19	  12.22	  10	   0	
midst	  13.24	 863.93	  22.50	   5	   1	
midsummer	   3.85	 145.70	  30.38	   9	   0	
mien	   0.78	3573.49	  17.33	   4	   0	
migration	   5.53	 973.72	 114.50	   9	   0	
mile	  34.64	1637.40	  29.67	   4	  18	
militia	   2.68	 404.21	  35.17	   7	   0	
milligram	   0.39	 114.38	  31.75	   9	   0	
milliner	   0.00	 848.27	  94.71	   8	   0	
mimicry	   2.68	 593.79	  37.67	   7	   0	
min	   1.56	  97.48	   7.00	   3	  14	
minaret	   0.00	 659.14	  57.83	   7	   0	
mindedness	   0.00	 122.73	  46.11	  10	   0	
mineral	   6.42	1114.30	  61.33	   7	   0	
minge	   0.00	 850.05	  42.50	   5	   5	
minibus	   1.12	 434.23	  40.00	   7	   0	
ministry	  31.06	 498.37	  55.29	   8	   0	
mink	   3.13	1282.08	  31.33	   4	  13	
minuet	   0.34	 612.43	  47.80	   6	   0	
mirth	   2.07	1431.37	  28.75	   5	   3	
misconduct	   0.78	 168.14	  33.00	  10	   0	
misfire	   0.00	 489.35	  38.83	   7	   0	
misfortune	   6.76	 153.77	  33.56	  10	   0	
misgiving	   1.01	1041.61	 199.25	   9	   0	
misnomer	   0.00	 561.50	  54.29	   8	   0	
misprision	   0.00	 809.01	  93.22	  10	   0	
mistrial	   0.00	 800.06	  84.86	   8	   0	
mite	   1.51	3040.29	  21.67	   4	  14	
moat	   2.01	6688.40	  23.00	   4	   7	
moccasin	   0.39	 156.13	  22.71	   8	   0	
mockery	   4.19	 882.46	 101.17	   7	   1	
modicum	   1.40	 255.12	  27.67	   7	   0	
mohican	   0.00	 269.84	  26.17	   7	   0	
mohr	   0.00	1391.06	   8.00	   4	   1	
molasses	   1.51	 644.13	 106.57	   8	   0	
molecule	   4.75	 409.32	  43.43	   8	   0	
molester	   0.00	 861.77	 100.43	   8	   1	
momentum	   9.94	 438.66	  49.43	   8	   0	
monarchist	   0.67	 260.38	  41.33	  10	   0	
monarchy	   3.97	 300.30	  40.43	   8	   1	
moniker	   0.00	 988.13	  96.83	   7	   0	
monocle	   0.00	 438.81	  47.00	   7	   0	
monograph	   1.12	 257.87	  38.88	   9	   0	
monologue	   3.41	 237.10	  34.25	   9	   0	
monoplane	   0.00	 317.22	  48.00	   9	   0	
monorail	   0.45	 452.56	  55.14	   8	   0	
monoxide	   1.34	 286.81	  41.00	   8	   0	
month	  90.00	 964.34	  33.50	   5	   1	
monument	  10.56	 571.45	  59.14	   8	   0	
moralist	   0.89	 507.34	 101.71	   8	   0	
morgue	   0.89	 695.59	  38.40	   6	   0	
moribund	   1.40	 233.67	  42.43	   8	   0	
mormonism	   0.00	 333.50	  63.50	   9	   0	
morn	   0.39	3078.20	  25.33	   4	  10	
morphs	   0.00	 660.33	  35.40	   6	   0	
mortician	   0.39	 352.42	  59.50	   9	   0	
mosque	   2.29	 435.57	  25.40	   6	   1	
mosquito	   2.63	 355.99	  36.00	   8	   0	
motherhood	   7.65	 161.29	  28.44	  10	   0	
mothership	   0.00	 200.77	  31.56	  10	   0	
motorbike	   0.95	 142.83	  26.38	   9	   0	
motorboat	   0.00	 152.81	  27.75	   9	   0	
motorcade	   0.56	 164.62	  32.88	   9	   0	
motorcar	   0.39	 264.10	  35.29	   8	   0	
motorist	   3.35	 482.33	  77.14	   8	   0	
motte	   0.00	 898.51	  32.50	   5	   1	
mound	   6.15	3194.69	  40.00	   5	   9	
mousse	   1.28	1012.47	  39.60	   6	   0	
mph	   2.46	   2.93	   1.50	   3	   1	
muck	   5.75	2113.64	  23.33	   4	  14	
muckraker	   0.00	 166.31	  34.00	   9	   0	
mucosa	   0.00	 410.33	  16.00	   6	   0	
mud	  29.22	  42.46	   3.50	   3	   8	
muff	   0.56	 721.45	   9.67	   4	   6	
mulatto	   0.39	 193.05	  28.00	   7	   0	
mulch	   0.50	1208.92	  29.25	   5	   2	
mule	   4.58	1214.55	  22.00	   4	   8	
multitude	   5.59	 235.58	  35.25	   9	   0	
munition	   0.00	1013.76	  89.71	   8	   0	
murderer	   8.32	 941.17	  93.71	   8	   1	
muscovite	   0.00	 261.43	  44.50	   9	   0	
museum	  30.61	 261.50	  22.60	   6	   0	
musica	   0.00	 470.18	  29.80	   6	   0	
musician	   5.08	 390.02	  38.71	   8	   0	
mutagen	   0.00	 530.33	  44.33	   7	   0	
mutineer	   0.00	 662.15	  75.86	   8	   0	
mutiny	   2.23	1212.40	  75.00	   6	   0	
mutt	   0.00	 780.11	  10.67	   4	   4	
myelin	   0.00	 300.93	  16.60	   6	   0	
myriad	   3.13	 424.59	  23.60	   6	   0	
myrmidon	   0.00	 323.07	  26.71	   8	   0	
myth	  19.89	2590.95	   4.67	   4	   2	
narcotic	   0.50	 325.54	  48.71	   8	   0	
nard	   0.00	1081.00	  28.00	   4	   8	
narration	   0.61	1025.57	 124.50	   9	   0	
narrowness	   1.45	 148.18	  47.22	  10	   0	
nastiness	   0.61	 386.59	  90.63	   9	   0	
nausea	   4.13	 504.58	  36.80	   6	   0	
nav	   0.00	   4.78	   2.00	   3	   4	
nave	   3.18	4104.65	  13.33	   4	  10	
naysayer	   0.00	 386.21	  32.57	   8	   0	
nazism	   0.00	 155.06	  19.40	   6	   0	
necrosis	   0.00	 276.38	  28.86	   8	   1	
needlework	   1.96	  66.65	  18.44	  10	   0	
neet	   0.00	2496.76	  22.33	   4	   8	
negation	   1.84	 936.57	  87.71	   8	   1	
negligence	   2.29	 366.17	  43.44	  10	   0	
neophyte	   0.50	 175.03	  28.86	   8	   0	
neurosis	   2.96	 168.55	  22.00	   8	   1	
neutralist	   0.00	 196.00	  49.44	  10	   1	
newcomer	   4.86	 382.99	  41.29	   8	   0	
newlywed	   0.00	1033.09	 132.86	   8	   0	
newscaster	   0.00	 179.05	  44.44	  10	   0	
newsletter	   2.79	 193.45	  45.00	  10	   0	
ngai	   0.00	   0.00	   0.00	   4	   0	
niacin	   0.00	 221.50	  21.00	   6	   0	
nib	   0.73	   9.95	   5.00	   3	   9	
nicety	   0.39	 361.42	  32.20	   6	   2	
niche	   3.74	 131.37	   8.50	   5	   0	
nicotine	   1.73	1243.03	 178.29	   8	   0	
niece	   4.80	 805.45	  16.25	   5	   1	
night	 428.55	2162.82	  12.50	   5	   8	
nincompoop	   0.00	  63.79	  13.33	  10	   0	
nitrogen	   8.32	 280.19	  34.43	   8	   0	
nobleman	   1.28	 121.37	  23.00	   8	   1	
nock	   0.00	 810.90	  23.33	   4	  12	
node	   0.50	 796.06	  16.33	   4	  10	
nominee	   0.56	 580.91	  44.83	   7	   0	
nonce	   0.00	1021.36	  26.75	   5	   1	
nonevent	   0.00	 481.94	  52.43	   8	   0	
nonfiction	   0.45	1071.77	 132.22	  10	   0	
nonnatives	   0.00	 449.72	  73.89	  10	   0	
nonpayment	   0.00	 581.16	  50.67	  10	   0	
nonsmoker	   0.00	 235.81	  39.75	   9	   0	
nonstarter	   0.00	 325.32	  67.00	  10	   0	
nonunion	   0.00	 705.12	  62.14	   8	   0	
nook	   0.78	2111.64	  25.00	   4	   7	
noon	  16.20	1892.70	  25.67	   4	   7	
noose	   1.45	1751.33	  37.25	   5	   4	
normalcy	   0.00	 254.05	  33.43	   8	   1	
northerner	   0.00	 154.18	  48.11	  10	   0	
nosiness	   0.00	 737.53	  85.00	   8	   1	
nostalgia	   6.20	 200.98	  33.88	   9	   1	
notary	   0.39	 514.37	  38.60	   6	   1	
notation	   1.96	 959.30	  88.71	   8	   1	
notochord	   0.00	 166.66	  35.50	   9	   0	
noun	   1.01	 878.06	  13.00	   4	   2	
novelist	   7.09	 428.94	  83.57	   8	   0	
novella	   0.00	 375.65	  21.33	   7	   0	
novelty	   9.22	 463.98	  27.00	   7	   0	
nowaday	   0.00	 368.61	  20.17	   7	   0	
nub	   0.73	  32.49	   5.00	   3	   9	
nucleus	   7.54	 375.32	  35.00	   7	   0	
nudity	   1.79	 361.84	  35.40	   6	   0	
nun	   5.36	 259.67	   6.00	   3	  10	
nunnery	   0.78	 837.10	  94.83	   7	   1	
nursery	  25.75	1091.76	  95.83	   7	   0	
nurturer	   0.00	 838.85	  85.00	   8	   1	
nutrition	   9.83	 968.22	 111.13	   9	   0	
oasis	   2.18	 285.54	  15.00	   5	   2	
oath	   5.25	2854.49	  14.00	   4	   6	
obeisance	   0.67	 283.45	  38.50	   9	   0	
objection	  12.46	 966.58	  96.75	   9	   0	
objector	   0.00	 222.17	  22.29	   8	   0	
observance	   1.56	 454.73	  48.22	  10	   0	
observer	  13.30	 762.51	  69.14	   8	   2	
obsession	  11.28	 706.59	  72.63	   9	   0	
obstacle	   6.93	 376.35	  44.57	   8	   0	
obstetrics	   0.56	 183.72	  42.33	  10	   0	
occident	   0.00	 429.92	  43.57	   8	   1	
occlusion	   0.00	 677.09	  63.50	   9	   0	
occupant	   1.90	 354.91	  34.86	   8	   0	
occurrence	   4.64	 377.61	  38.78	  10	   0	
oceanfront	   0.00	 245.87	  31.00	  10	   0	
octagon	   0.89	 264.52	  22.67	   7	   0	
octillion	   0.00	 626.27	  75.50	   9	   0	
oculist	   0.00	 574.15	  59.00	   7	   0	
oddity	   1.73	 267.75	  31.80	   6	   0	
odds	  16.54	  95.40	   8.67	   4	   1	
odeon	   0.00	 129.74	   8.50	   5	   0	
odorant	   0.00	 432.32	  35.50	   7	   0	
odyssey	   2.12	 230.66	  25.00	   7	   0	
offender	   3.07	 688.16	  66.71	   8	   1	
oligarch	   0.00	 212.63	  21.71	   8	   0	
olympics	   0.00	 136.59	  21.71	   8	   0	
ombudsman	   0.50	  46.04	  14.63	   9	   0	
omega	  12.96	  35.01	   4.00	   5	   0	
omission	   3.18	 572.88	  47.43	   8	   1	
omnibus	   0.50	 156.23	  18.50	   7	   0	
onlooker	   0.84	 356.81	  36.14	   8	   0	
ons	   0.00	1727.85	   0.50	   3	   2	
oohs	   0.00	  67.43	   1.33	   4	   1	
oomph	   0.00	 319.55	  13.25	   5	   0	
opener	   1.84	1837.81	 107.60	   6	   1	
openness	   3.74	 503.10	  77.14	   8	   0	
opinion	  76.26	 700.97	  53.00	   7	   0	
opium	   2.29	  42.00	   7.00	   5	   0	
opossum	   0.67	 165.50	  18.50	   7	   0	
opponent	  17.37	 507.47	  55.86	   8	   0	
oppression	   7.60	 942.74	  92.11	  10	   0	
ops	   0.78	   3.83	   2.00	   3	   2	
optician	   0.95	 370.30	  39.43	   8	   0	
optimist	   1.28	 343.60	  50.29	   8	   1	
opulence	   1.40	 540.87	  40.57	   8	   0	
oracle	   0.95	1066.66	  66.20	   6	   0	
oration	   0.78	 932.47	  86.50	   7	   1	
orator	   1.45	 441.84	  46.40	   6	   0	
orb	   0.45	   1.99	   1.50	   3	   1	
orbiter	   0.00	1107.69	 104.67	   7	   2	
orchestra	  13.63	 174.87	  26.13	   9	   0	
ore	   3.07	2221.76	   3.00	   3	   7	
orf	   0.00	   1.76	   1.00	   3	   4	
organist	   0.89	 365.72	  58.29	   8	   1	
origin	  23.63	 462.98	  35.40	   6	   0	
orphanage	   1.90	 145.44	  24.63	   9	   0	
osmium	   0.00	 167.60	  10.00	   6	   0	
otherness	   0.00	 340.79	  77.00	   9	   0	
ounce	   5.20	 850.39	  22.50	   5	   0	
outfielder	   0.00	 105.41	  21.22	  10	   0	
outfitter	   0.00	 482.86	  66.75	   9	   0	
outlawry	   0.00	 174.06	  32.43	   8	   0	
outpatient	   0.00	 435.49	  47.56	  10	   0	
outpouring	   0.50	 520.40	 137.44	  10	   0	
outsider	   7.09	 621.16	  60.43	   8	   0	
ovary	   0.84	1011.65	  28.00	   5	   0	
ovation	   1.06	 802.94	  65.67	   7	   1	
overbuilt	   0.00	 147.69	  21.50	   9	   0	
overdraft	   2.29	 153.28	  28.13	   9	   0	
overdrive	   0.00	 378.75	  61.38	   9	   0	
overflight	   0.00	 121.40	  16.78	  10	   0	
overhang	   3.07	 957.87	 151.71	   8	   1	
overlock	   0.00	 178.37	  36.57	   8	   1	
overlord	   0.95	 234.48	  46.00	   8	   1	
oversea	   0.00	 290.55	  31.33	   7	   1	
overstock	   0.00	 165.55	  39.00	   9	   0	
overtone	   0.00	 327.18	  53.71	   8	   1	
overview	   0.00	 250.38	  46.57	   8	   0	
owl	   3.02	 467.29	   2.00	   3	   3	
ownership	  38.10	 222.27	  35.00	   9	   0	
pacemaker	   0.00	 191.68	  41.50	   9	   0	
packagers	   0.00	 266.94	  59.00	   9	   0	
pact	  18.38	1748.61	  20.67	   4	   7	
pageantry	   1.01	 234.35	  42.13	   9	   0	
painkiller	   0.00	 113.16	  28.00	  10	   0	
pais	   0.00	3462.33	  23.67	   4	  12	
pallone	   0.00	 750.24	  77.17	   7	   0	
palm	  19.72	1178.94	  24.67	   4	   5	
palmetto	   0.00	 135.36	  33.14	   8	   0	
palmistry	   0.00	 252.30	  41.38	   9	   0	
pancreas	   0.50	 300.36	  47.29	   8	   0	
pane	   1.73	1989.29	  37.00	   4	  17	
paneling	   0.00	1795.42	 305.14	   8	   0	
panelist	   0.00	 437.99	 101.29	   8	   0	
panhandler	   0.00	 134.70	  33.11	  10	   0	
panoply	   0.67	 679.52	  66.33	   7	   0	
pantheon	   1.62	 563.43	  62.00	   8	   0	
pantomime	   3.24	 212.92	  37.13	   9	   0	
pap	   0.67	 206.20	  10.00	   3	  22	
papacy	   0.78	 321.58	  31.80	   6	   0	
paperback	   3.63	 234.83	  45.63	   9	   0	
papering	   0.00	2004.11	 296.57	   8	   2	
parable	   2.74	 746.38	  84.00	   7	   1	
parachute	   3.07	 197.18	  56.25	   9	   0	
paradigm	   3.02	 353.29	  60.57	   8	   0	
paradox	   6.37	 572.54	  59.67	   7	   0	
paraffin	   2.74	 259.51	  48.71	   8	   0	
paragon	   0.73	 736.08	  69.67	   7	   0	
paragraph	   9.94	 165.45	  44.38	   9	   0	
parapet	   1.62	 676.87	  77.83	   7	   0	
parasite	   1.40	 601.62	  90.00	   8	   0	
paratroop	   0.00	 232.08	  47.25	   9	   0	
paratroops	   0.00	 135.70	  25.44	  10	   0	
parboiling	   0.00	 547.62	 139.33	  10	   0	
parentage	   1.06	 479.48	  63.50	   9	   0	
parenthood	   3.13	 242.00	  34.33	  10	   0	
parity	   1.51	 912.00	  80.20	   6	   2	
parliament	  57.37	 571.01	  49.78	  10	   0	
parsonage	   0.34	 212.60	  47.50	   9	   1	
parthenon	   0.00	 487.99	  72.75	   9	   0	
particle	   4.25	 465.84	  71.29	   8	   0	
passageway	   1.73	  72.78	  13.11	  10	   0	
passenger	  16.09	 262.22	  59.00	   9	   0	
patella	   0.00	 471.67	  42.67	   7	   0	
path	  50.84	3361.16	  23.67	   4	   8	
pathfinder	   0.34	 124.35	  37.00	  10	   0	
pathogen	   0.00	 492.48	  45.86	   8	   0	
patriarch	   1.51	 174.70	  39.88	   9	   0	
patronage	   5.70	 222.06	  48.13	   9	   0	
patroness	   0.39	 277.08	  85.25	   9	   0	
paucity	   0.67	 552.87	  47.50	   7	   0	
pavilion	   3.35	 690.66	  85.43	   8	   0	
payola	   0.00	 295.93	  25.40	   6	   0	
peasantry	   2.96	 276.33	  48.88	   9	   0	
peat	   3.69	6625.16	  33.33	   4	  14	
pectoris	   0.00	 274.08	  36.29	   8	   0	
pedestal	   2.29	 481.26	  55.57	   8	   0	
pedigree	   1.73	 484.23	  55.43	   8	   0	
pedophile	   0.00	 276.98	  40.63	   9	   0	
penalty	  15.64	 733.90	  47.00	   7	   0	
pendulum	   3.74	 201.32	  36.00	   8	   0	
pentathlon	   0.00	 396.09	  51.56	  10	   0	
pentecost	   0.00	 318.06	  49.75	   9	   0	
pentothal	   0.00	 333.87	  42.00	   9	   0	
penury	   0.67	 865.83	  41.20	   6	   0	
peony	   0.34	 504.71	  24.00	   5	   2	
peppermint	   1.06	 565.62	 104.00	  10	   0	
percentage	  19.27	 193.50	  41.22	  10	   0	
percentile	   0.00	 499.11	  96.89	  10	   0	
perception	  18.44	 898.30	 119.67	  10	   0	
percussion	   1.56	 822.60	  90.78	  10	   0	
peregrine	   1.01	 862.38	 155.00	   9	   0	
perfidy	   0.50	 660.17	  36.67	   7	   0	
performer	   4.80	 325.17	  49.38	   9	   1	
peridot	   0.00	 686.09	  41.67	   7	   0	
