"","X.1","X","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","cmu_sylls","BF_TK","BF_TP","LEN_L","N"
"1042",6542,22136,"erosion",28,24,28,24,0.549019608,1.462397998,0.286123033,1.397940009,"Noun",28,1,"Noun",28,2.75423214,3,901.13,62.83,7,0
"1043",6551,22174,"eruption",20,17,15,14,0.392156863,1.322219295,0.202670482,1.255272505,"Noun",20,1,"Noun",20,2.614053437,3,809.36,74.43,8,0
"1044",6559,22208,"escapee",11,10,11,10,0.215686275,1.079181246,0.11921793,1.041392685,"Noun",11,1,"Noun",11,2.371015388,3,378.71,26.33,7,2
"1045",6566,22219,"escarpment",22,5,18,5,0.431372549,1.361727836,0.059608965,0.77815125,"Noun",22,1,"Noun",22,2.653561978,3,512.17,38.11,10,0
"1046",6581,22268,"espresso",105,78,97,75,2.058823529,2.025305865,0.929899857,1.897627091,"Noun",100,1,"Noun",100,3.317140007,3,81.8,12.14,8,0
"1047",6610,22344,"ethanol",15,13,11,10,0.294117647,1.204119983,0.154983309,1.146128036,"Noun",15,1,"Noun",15,2.495954125,3,152.06,12.5,7,0
"1048",6619,22367,"ethylene",10,4,10,4,0.196078431,1.041392685,0.047687172,0.698970004,"Noun",10,1,"Noun",10,2.333226827,3,247.7,31.86,8,0
"1049",6621,22370,"etiquette",96,85,94,85,1.882352941,1.986771734,1.013352408,1.934498451,"Noun",98,1,"Noun",98,3.278605876,3,121.82,25.13,9,0
"1050",6625,22384,"eucharist",3,2,0,0,0.058823529,0.602059991,0.023843586,0.477121255,"Noun",3,1,"Noun",3,1.893894133,3,319.84,60.38,9,0
"1051",6627,22393,"eugenics",4,3,4,3,0.078431373,0.698970004,0.035765379,0.602059991,"Noun",4,1,"Noun",4,1.990804146,3,324.7,38.14,8,0
"1052",6630,22399,"eulogy",84,42,80,42,1.647058824,1.929418926,0.500715308,1.633468456,"Noun",84,1,"Noun",84,3.221253068,3,116.6,14.4,6,0
"1053",6634,22407,"euphony",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,358.89,19.83,7,0
"1054",6641,22439,"evader",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,1699.2,112.2,6,2
"1055",6650,22469,"evasion",59,48,57,48,1.156862745,1.77815125,0.572246066,1.69019608,"Noun",59,1,"Noun",59,3.069985393,3,651.26,47.67,7,0
"1056",6660,22520,"eviction",43,36,37,33,0.843137255,1.643452676,0.429184549,1.568201724,"Noun",42,1,"Noun",42,2.935286819,3,931.5,76.71,8,0
"1057",6662,22523,"evidence",4335,1755,4177,1721,85,3.637089274,20.92274678,3.244524512,"Noun",4332,1,"Noun",4332,4.928923416,3,700.81,38.57,8,0
"1058",6672,22568,"ewe",16,6,14,5,0.31372549,1.230448921,0.071530758,0.84509804,"Noun",16,1,"Noun",16,2.522283064,1,11.62,2,3,5
"1059",6675,22582,"exaction",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,1028.03,88.57,8,0
"1060",6689,22644,"exception",409,375,396,367,8.019607843,2.612783857,4.470672389,2.575187845,"Noun",410,1,"Noun",410,3.904617999,3,1012.96,101.5,9,0
"1061",6693,22658,"exchanger",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,306.06,49.5,9,2
"1062",6695,22661,"exchequer",5,3,0,0,0.098039216,0.77815125,0.035765379,0.602059991,"Noun",5,1,"Noun",5,2.069985393,3,254.18,36.63,9,0
"1063",6697,22666,"excision",1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,768.63,63.71,8,0
"1064",6701,22691,"exclusion",12,12,11,11,0.235294118,1.113943352,0.143061516,1.113943352,"Noun",11,1,"Noun",11,2.405777494,3,777.36,73.75,9,0
"1065",6703,22706,"excrement",62,25,49,24,1.215686275,1.799340549,0.298044826,1.414973348,"Noun",62,1,"Noun",62,3.091174692,3,799.44,65,9,0
"1066",6706,22715,"excretion",6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,"Noun",6,1,"Noun",6,2.136932182,3,1087.02,109.88,9,0
"1067",6709,22722,"excursion",34,34,31,31,0.666666667,1.544068044,0.405340963,1.544068044,"Noun",34,1,"Noun",34,2.835902186,3,738.3,75.25,9,0
"1068",6723,22759,"exemption",20,17,19,16,0.392156863,1.322219295,0.202670482,1.255272505,"Noun",19,1,"Noun",19,2.614053437,3,937.13,96.13,9,0
"1069",6726,22770,"exertion",15,12,15,12,0.294117647,1.204119983,0.143061516,1.113943352,"Noun",15,1,"Noun",15,2.495954125,3,1014.58,93.29,8,0
"1070",6729,22791,"exhaustion",82,73,78,70,1.607843137,1.919078092,0.870290892,1.86923172,"Noun",82,1,"Noun",82,3.210912235,3,922.37,110.78,10,0
"1071",6736,22827,"existence",596,475,588,473,11.68627451,2.775974331,5.662851693,2.677606953,"Noun",596,1,"Noun",596,4.067808473,3,458.23,57.38,9,0
"1072",6739,22847,"exodus",40,33,15,15,0.784313725,1.612783857,0.39341917,1.531478917,"Noun",40,1,"Noun",40,2.904617999,3,197.4,16.8,6,0
"1073",6744,22870,"exotics",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,795.13,57.17,7,0
"1074",6747,22879,"expansion",88,73,82,69,1.725490196,1.949390007,0.870290892,1.86923172,"Noun",88,1,"Noun",88,3.241224149,3,817.61,78.5,9,0
"1075",6756,22949,"expertise",203,177,199,175,3.980392157,2.309630167,2.110157368,2.250420002,"Noun",203,1,"Noun",203,3.60146431,3,806.17,103.25,9,0
"1076",6759,22964,"expiry",4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,343.46,28.2,6,1
"1077",6767,23003,"explorer",97,63,58,45,1.901960784,1.991226076,0.751072961,1.806179974,"Noun",97,1,"Noun",97,3.283060218,3,853.77,83.43,8,2
"1078",6769,23007,"explosion",841,467,763,438,16.49019608,2.925312091,5.567477349,2.670245853,"Noun",840,1,"Noun",840,4.217146234,3,808.99,80.5,9,0
"1079",6772,23014,"exponent",4,4,3,3,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,547.58,63.14,8,0
"1080",6774,23021,"exporter",4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,815.43,89.29,8,1
"1081",6776,23033,"exposure",291,240,281,237,5.705882353,2.465382851,2.861230329,2.382017043,"Noun",290,1,"Noun",290,3.757216994,3,328.36,29.71,8,0
"1082",6778,23043,"expression",651,549,649,547,12.76470588,2.814247596,6.545064378,2.740362689,"Noun",650,1,"Noun",650,4.106081738,3,1002.27,98.67,10,0
"1083",6779,23054,"expresso",5,4,5,4,0.098039216,0.77815125,0.047687172,0.698970004,"Noun",5,1,"Noun",5,2.069985393,3,210.41,21.43,8,1
"1084",6780,23055,"expressway",49,41,33,28,0.960784314,1.698970004,0.488793515,1.62324929,"Noun",49,1,"Noun",49,2.990804146,3,366.27,39,10,0
"1085",6781,23060,"expulsion",41,31,40,30,0.803921569,1.62324929,0.369575584,1.505149978,"Noun",41,1,"Noun",41,2.915083433,3,743.57,73.5,9,0
"1086",6784,23079,"extenders",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,631,80.5,9,0
"1087",6785,23083,"extension",275,221,254,208,5.392156863,2.440909082,2.634716261,2.346352974,"Noun",275,1,"Noun",275,3.732743224,3,947.92,89.38,9,0
"1088",6791,23111,"extinction",76,65,71,63,1.490196078,1.886490725,0.774916547,1.819543936,"Noun",76,1,"Noun",76,3.178324867,3,971.52,122,10,0
"1089",6793,23127,"extortion",131,112,111,96,2.568627451,2.120573931,1.33524082,2.053078443,"Noun",131,1,"Noun",131,3.412408073,3,1071.67,108.38,9,0
"1090",6801,23184,"extrovert",5,4,5,4,0.098039216,0.77815125,0.047687172,0.698970004,"Noun",5,1,"Noun",5,2.069985393,3,316.48,49.5,9,0
"1091",6803,23189,"extrusion",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,746.08,78.38,9,0
"1092",6812,23219,"eyedropper",7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,"Noun",7,1,"Noun",7,2.194924129,3,48.93,15.56,10,0
"1093",6821,23232,"eyeliner",52,37,51,37,1.019607843,1.72427587,0.441106342,1.579783597,"Noun",51,1,"Noun",51,3.016110012,3,708.09,74.29,8,0
"1094",6837,23272,"fac",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,1,311.81,4.5,3,9
"1095",6858,23321,"factory",857,483,791,461,16.80392157,2.933487288,5.758226037,2.684845362,"Noun",857,1,"Noun",857,4.22532143,3,677.07,53.5,7,1
"1096",6862,23327,"faculty",248,160,227,150,4.862745098,2.396199347,1.907486886,2.206825876,"Noun",246,1,"Noun",246,3.688033489,3,416.34,34.83,7,0
"1097",6863,23328,"fad",39,36,39,36,0.764705882,1.602059991,0.429184549,1.568201724,"Noun",39,1,"Noun",39,2.893894133,1,3620.25,8.5,3,16
"1098",6879,23381,"faire",33,21,23,18,0.647058824,1.531478917,0.250357654,1.342422681,"Noun",33,1,"Noun",33,2.823313059,1,1551.94,33.75,5,2
"1099",6885,23396,"fairyland",12,9,10,7,0.235294118,1.113943352,0.107296137,1,"Noun",12,1,"Noun",12,2.405777494,3,136.16,25.5,9,0
"1100",6888,23408,"fajitas",20,10,15,9,0.392156863,1.322219295,0.11921793,1.041392685,"Noun",20,1,"Noun",20,2.614053437,3,202.31,21.5,7,0
"1101",6894,23422,"falconry",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,273.23,33.71,8,0
"1102",6897,23428,"fallacy",20,17,20,17,0.392156863,1.322219295,0.202670482,1.255272505,"Noun",20,1,"Noun",20,2.614053437,3,530.33,56.5,7,0
"1103",6903,23453,"falsity",7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,"Noun",7,1,"Noun",7,2.194924129,3,643.32,58.67,7,1
"1104",6907,23476,"family",18067,5340,17344,5255,354.254902,4.256910082,63.66237482,3.727622578,"Noun",18035,1,"Noun",18035,5.548744224,3,1324.84,58.4,6,0
"1105",6914,23499,"fandango",5,4,5,4,0.098039216,0.77815125,0.047687172,0.698970004,"Noun",5,1,"Noun",5,2.069985393,3,302.09,50.86,8,0
"1106",6927,23544,"farce",89,68,88,67,1.745098039,1.954242509,0.810681927,1.838849091,"Noun",89,1,"Noun",89,3.246076652,1,1221.18,35.75,5,1
"1107",6942,23580,"farrier",3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,"Noun",3,1,"Noun",3,1.893894133,3,1537.66,143.67,7,3
"1108",6949,23608,"fascism",39,28,29,20,0.764705882,1.602059991,0.333810205,1.462397998,"Noun",39,1,"Noun",39,2.893894133,3,354.83,45.83,7,1
"1109",6954,23627,"fastener",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,919.13,96.29,8,1
"1110",6961,23644,"fatalist",3,2,3,2,0.058823529,0.602059991,0.023843586,0.477121255,"Noun",3,1,"Noun",3,1.893894133,3,482.43,89,8,1
"1111",6967,23661,"fatherhood",23,20,23,20,0.450980392,1.380211242,0.238435861,1.322219295,"Noun",23,1,"Noun",23,2.672045384,3,168.29,30.33,10,0
"1112",6968,23663,"fatherland",39,22,29,15,0.764705882,1.602059991,0.262279447,1.361727836,"Noun",39,1,"Noun",39,2.893894133,3,207.45,34.67,10,0
"1113",6979,23715,"fave",6,6,6,6,0.117647059,0.84509804,0.071530758,0.84509804,"Noun",6,1,"Noun",6,2.136932182,1,4486.13,17,4,15
"1114",6985,23757,"fealty",8,5,6,5,0.156862745,0.954242509,0.059608965,0.77815125,"Noun",8,1,"Noun",8,2.246076652,3,851.2,45,6,0
"1115",6987,23776,"feat",78,70,76,69,1.529411765,1.897627091,0.834525513,1.851258349,"Noun",78,1,"Noun",78,3.189461233,1,7049.28,31.67,4,12
"1116",6988,23778,"featherbed",8,5,4,4,0.156862745,0.954242509,0.059608965,0.77815125,"Noun",8,1,"Noun",8,2.246076652,3,297.33,74.11,10,0
"1117",6996,23816,"fedora",13,11,13,11,0.254901961,1.146128036,0.131139723,1.079181246,"Noun",13,1,"Noun",13,2.437962178,3,435.67,23.8,6,0
"1118",6998,23819,"fee",494,358,475,349,9.68627451,2.694605199,4.268001907,2.555094449,"Noun",494,1,"Noun",494,3.986439341,1,934.41,7.5,3,15
"1119",7012,23861,"feist",1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,1,905.69,23.75,5,2
"1120",7025,23889,"fellowship",150,83,127,73,2.941176471,2.178976947,0.989508822,1.924279286,"Noun",150,1,"Noun",150,3.470811089,3,137.13,22.44,10,0
"1121",7035,23921,"fen",18,5,2,2,0.352941176,1.278753601,0.059608965,0.77815125,"Noun",18,1,"Noun",18,2.570587743,1,808.1,8.5,3,18
"1122",7038,23940,"fent",2,1,2,1,0.039215686,0.477121255,0.011921793,0.301029996,"Noun",2,1,"Noun",2,1.768955397,1,1640.82,21.67,4,16
"1123",7039,23944,"feria",4,2,4,2,0.078431373,0.698970004,0.023843586,0.477121255,"Noun",4,1,"Noun",4,1.990804146,3,191.01,20.5,5,0
"1124",7040,23952,"fermium",2,2,1,1,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,481.62,41,7,0
"1125",7047,23976,"ferryman",6,5,6,5,0.117647059,0.84509804,0.059608965,0.77815125,"Noun",6,1,"Noun",6,2.136932182,3,286.43,35.86,8,0
"1126",7055,23999,"fest",69,47,49,35,1.352941176,1.84509804,0.560324273,1.681241237,"Noun",69,1,"Noun",69,3.136932182,1,3023.55,21.67,4,15
"1127",7061,24013,"fests",3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,"Noun",3,1,"Noun",3,1.893894133,1,448.32,51,5,9
"1128",7063,24022,"fete",16,9,16,9,0.31372549,1.230448921,0.107296137,1,"Noun",16,1,"Noun",16,2.522283064,1,776.59,17.33,4,1
"1129",7068,24030,"fetishist",4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,326.59,52.25,9,1
"1130",7084,24072,"fiance",201,115,197,113,3.941176471,2.305351369,1.371006199,2.064457989,"Noun",616,1,"Noun",616,3.597185512,3,625.9,37.6,6,0
"1131",7088,24077,"fiasco",83,70,82,69,1.62745098,1.924279286,0.834525513,1.851258349,"Noun",84,1,"Noun",84,3.216113428,3,208.29,23,6,0
"1132",7106,24135,"fides",3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,"Noun",3,1,"Noun",3,1.893894133,1,1773.58,80.25,5,11
"1133",7107,24144,"fief",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,1,712.71,12.67,4,1
"1134",7115,24178,"fig",62,45,36,29,1.215686275,1.799340549,0.536480687,1.662757832,"Noun",62,1,"Noun",62,3.091174692,1,235.72,7,3,15
"1135",7122,24192,"figura",5,3,4,3,0.098039216,0.77815125,0.035765379,0.602059991,"Noun",5,1,"Noun",5,2.069985393,3,510.29,26.8,6,1
"1136",7124,24199,"figurehead",14,13,14,13,0.274509804,1.176091259,0.154983309,1.146128036,"Noun",14,1,"Noun",14,2.467925401,3,84.01,17.33,10,0
"1137",7126,24204,"figurine",14,9,14,9,0.274509804,1.176091259,0.107296137,1,"Noun",14,1,"Noun",14,2.467925401,3,1105.83,167.14,8,1
"1138",7128,24209,"filament",17,8,16,8,0.333333333,1.255272505,0.095374344,0.954242509,"Noun",17,1,"Noun",17,2.547106647,3,437.62,53,8,0
"1139",7137,24230,"filigree",5,4,4,3,0.098039216,0.77815125,0.047687172,0.698970004,"Noun",5,1,"Noun",5,2.069985393,3,552.68,58.71,8,0
"1140",7153,24281,"filtration",23,17,23,17,0.450980392,1.380211242,0.202670482,1.255272505,"Noun",23,1,"Noun",23,2.672045384,3,972.1,137.56,10,0
"1141",7154,24288,"finale",125,87,115,78,2.450980392,2.100370545,1.037195994,1.944482672,"Noun",124,1,"Noun",124,3.392204687,3,1219.52,73.2,6,1
"1142",7156,24292,"finalist",24,17,23,16,0.470588235,1.397940009,0.202670482,1.255272505,"Noun",24,1,"Noun",24,2.689774151,3,392.29,87.57,8,0
