,X,Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,cmu_sylls
123,499,ackee,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
124,511,acne,46,37,45,36,0.901960784,1.672097858,0.441106342,1.579783597,Noun,46,1,Noun,46,2.963932,2
125,512,acnes,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
126,513,acolyte,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
127,514,acolytes,6,4,6,4,0.117647059,0.84509804,0.047687172,0.698970004,Noun,6,1,Noun,6,2.136932182,3
128,516,aconitum,4,2,4,2,0.078431373,0.698970004,0.023843586,0.477121255,Noun,4,1,Noun,4,1.990804146,NA
129,517,acorn,37,16,29,14,0.725490196,1.579783597,0.190748689,1.230448921,Noun,37,1,Noun,37,2.871617739,2
130,518,acorns,19,11,9,9,0.37254902,1.301029996,0.131139723,1.079181246,Noun,19,1,Noun,19,2.592864138,2
131,522,acoustics,22,22,22,22,0.431372549,1.361727836,0.262279447,1.361727836,Noun,22,1,Noun,22,2.653561978,3
132,536,acquirer,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,4
133,544,acquittal,37,33,36,32,0.725490196,1.579783597,0.39341917,1.531478917,Noun,37,1,Noun,37,2.871617739,3
134,545,acquittals,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,3
135,548,acre,93,55,67,50,1.823529412,1.973127854,0.655698617,1.748188027,Noun,93,1,Noun,93,3.264961996,2
136,549,acreage,22,19,22,19,0.431372549,1.361727836,0.226514068,1.301029996,Noun,22,1,Noun,22,2.653561978,3
137,550,acres,234,159,185,139,4.588235294,2.371067862,1.895565093,2.204119983,Noun,234,1,Noun,234,3.662902004,2
138,553,acrimony,11,6,11,6,0.215686275,1.079181246,0.071530758,0.84509804,Noun,11,1,Noun,11,2.371015388,4
139,556,acrobatics,11,10,10,10,0.215686275,1.079181246,0.11921793,1.041392685,Noun,11,1,Noun,11,2.371015388,4
140,559,acromion,2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,Noun,2,1,Noun,2,1.768955397,NA
141,560,acronym,15,14,14,13,0.294117647,1.204119983,0.166905103,1.176091259,Noun,15,1,Noun,15,2.495954125,3
142,561,acronyms,7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,Noun,7,1,Noun,7,2.194924129,3
143,562,acrophobia,10,6,8,4,0.196078431,1.041392685,0.071530758,0.84509804,Noun,10,1,Noun,10,2.333226827,NA
144,566,acrylics,3,3,3,3,0.058823529,0.602059991,0.035765379,0.602059991,Noun,3,1,Noun,3,1.893894133,3
145,570,actg,1,1,0,0,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
146,573,actings,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
147,577,actioner,1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,Noun,1,1,Noun,1,1.592864138,NA
148,583,activation,43,33,40,30,0.843137255,1.643452676,0.39341917,1.531478917,Noun,43,1,Noun,43,2.935286819,4
149,584,activator,4,4,3,3,0.078431373,0.698970004,0.047687172,0.698970004,Noun,4,1,Noun,4,1.990804146,4
