Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
breathe	2474	1424	1862	1279	48.51	3.3936	16.98	3.1538	Verb	2465.0	1.0	Verb	2465	4.685409345	1
breathing	1417	999	1361	963	27.78	3.1517	11.91	3.0	Verb	844.0	0.6	Verb.Noun.Adjective	844.557.17	4.443510373	2
brick	519	255	365	232	10.18	2.716	3.04	2.4082	Noun	494.0	0.95	Noun.Name.Verb	494.22.3	4.007837486	1
bride	1235	638	1148	612	24.22	3.092	7.61	2.8055	Noun	1204.0	0.98	Noun.Name	1204.22	4.383852613	1
bridge	2331	1046	1847	889	45.71	3.3677	12.47	3.0199	Noun	2249.0	0.97	Noun.Verb.Name	2249.61.17	4.659562688	1
brief	732	598	693	580	14.35	2.8651	7.13	2.7774	Adjective	559.0	0.77	Adjective.Verb.Noun.Adverb	559.135.29.7	4.156938117	1
bright	2265	1403	1692	1261	44.41	3.3553	16.73	3.1474	Adjective	2158.0	0.96	Adjective.Name.Noun	2158.98.1	4.647094048	1
brilliant	1826	1181	1489	1028	35.8	3.2617	14.08	3.0726	Adjective	1825.0	1.0	Adjective	1825	4.553572689	2
bringing	2282	1772	2147	1692	44.75	3.3585	21.13	3.2487	Verb	2279.0	1.0	Verb.Noun	2279.1	4.650340054	2
brings	1791	1484	1726	1438	35.12	3.2533	17.69	3.1717	Verb	1788.0	1.0	Verb.Noun	1788.1	4.545172147	1
british	1283	531	15	12	25.16	3.1086	6.33	2.7259	Adjective	1274.0	0.99	Adjective.Name	1274.9	4.400399166	2
bro	1270	586	1105	544	24.9	3.1041	6.99	2.7686	Noun	1232.0	0.98	Noun.Name	1232.30	4.395979693	1
