"numid.f" "X.f" "Word.s" "Unnamed.f" "FREQcount.f" "Cdcount.f" "FREQlow.f" "Cdlow.f" "SUBLTLWF.f" "Lg10WF.f" "SUBTLCD.f" "Lg10CD.f" "Dom_PoS_SUBTLEX.s" "Freq_dom_PoS_SUBTLEX.f" "Percentage_dom_PoS.f" "Zipfvalue.f" "cmu_sylls.f" "BF_TP.f" "LEN_L.f" "N.f" "Zipfvalue_incl.f" "Zipfvalue_cat.s"
"437" 4462 4461 "dame" 16111 702 329 528 258 13.76470588 2.846955325 3.922269909 2.51851394 "Noun" 606 0.868194842 4.138789467 1 20.67 4 17 1 "high"
"441" 4505 4504 "database" 16282 290 227 284 224 5.68627451 2.463892989 2.70624702 2.357934847 "Noun" 290 1 3.755727131 3 33.14 8 0 1 "high"
"442" 4507 4506 "date" 16285 7218 2987 7068 2947 141.5294118 3.858477042 35.6103958 3.475380593 "Noun" 6440 0.890856273 5.150311184 1 24.67 4 13 1 "high"
"443" 4517 4516 "dawn" 16328 1301 692 818 604 25.50980392 3.114610984 8.249880782 2.840733235 "Noun" 812 0.624135281 4.406445126 1 16.33 4 8 1 "high"
"444" 4520 4519 "day" 16334 40893 7727 38926 7687 801.8235294 4.611659593 92.1196948 3.888067113 "Noun" 40424 0.991245923 5.903493735 1 8.5 3 16 1 "high"
"445" 4547 4546 "deal" 16421 13330 5231 12637 5123 261.372549 4.124862728 62.36289938 3.718667735 "Noun" 9068 0.680985281 5.416696871 1 33.33 4 16 1 "high"
"446" 4556 4555 "death" 16444 11051 4278 9811 4118 216.6862745 4.043440876 51.00143062 3.631342286 "Noun" 11024 0.997917987 5.335275018 1 47.25 5 2 1 "high"
"451" 4606 4605 "deck" 16619 1212 629 1103 595 23.76470588 3.083860801 7.498807821 2.799340549 "Noun" 1207 0.99834574 4.375694943 1 24.33 4 8 1 "high"
"457" 4706 4705 "democrat" 17145 86 63 12 12 1.68627451 1.939519253 0.751072961 1.806179974 "Noun" 86 1 3.231353395 3 37.29 8 0 1 "low"
"469" 4795 4794 "desk" 17599 2239 1404 2204 1391 43.90196078 3.350248018 16.73819742 3.147676324 "Noun" 2237 1 4.64208216 1 15.67 4 3 1 "high"
"475" 4823 4822 "detention" 17700 333 163 291 151 6.529411765 2.523746467 1.943252265 2.214843848 "Noun" 331 1 3.815580609 3 131.5 9 2 1 "high"
"491" 4998 4997 "directive" 18366 90 65 78 58 1.764705882 1.959041392 0.774916547 1.819543936 "Noun" 90 1 3.250875534 3 97.88 9 0 1 "low"
"493" 5006 5005 "dirt" 18389 1310 814 1130 782 25.68627451 3.117602692 9.704339533 2.911157609 "Noun" 1310 0.99847561 4.409436834 1 19.33 4 5 1 "high"
"500" 5045 5044 "dish" 18688 584 443 568 431 11.45098039 2.767155866 5.281354316 2.64738297 "Noun" 509 0.87008547 4.058990008 1 20.67 4 5 1 "high"
"501" 5050 5049 "dishwasher" 18722 103 76 99 75 2.019607843 2.017033339 0.906056271 1.886490725 "Noun" 103 1 3.308867481 3 46.33 10 0 1 "low"
"503" 5059 5058 "disorder" 18820 364 246 353 238 7.137254902 2.562292864 2.932761087 2.392696953 "Noun" 364 1 3.854127007 3 81.43 8 0 1 "high"
"510" 5137 5136 "dock" 19259 497 307 441 289 9.745098039 2.697229343 3.659990463 2.488550717 "Noun" 407 0.818913481 3.989063485 1 26.33 4 11 1 "high"
"514" 5200 5199 "domino" 19452 205 46 16 16 4.019607843 2.31386722 0.54840248 1.672097858 "Noun" 203 0.990243902 3.605701363 3 65.6 6 0 1 "low"
"517" 5244 5243 "dorm" 19573 369 187 355 183 7.235294118 2.568201724 2.229375298 2.274157849 "Noun" 349 0.945799458 3.860035866 1 23.33 4 5 1 "high"
"518" 5254 5253 "dose" 19595 270 202 267 201 5.294117647 2.432969291 2.408202194 2.307496038 "Noun" 274 1 3.724803433 1 21.33 4 12 1 "high"
"520" 5271 5270 "dough" 19652 810 407 783 400 15.88235294 2.909020854 4.852169766 2.610660163 "Noun" 809 1 4.200854996 1 27 5 4 1 "high"
"525" 5347 5346 "dream" 19889 6798 2809 6418 2729 133.2941176 3.832445041 33.48831664 3.44870632 "Noun" 5353 0.787785136 5.124279183 1 33.5 5 3 1 "high"
"527" 5369 5368 "drill" 19959 701 466 658 450 13.74509804 2.846337112 5.555555556 2.669316881 "Noun" 507 0.723252496 4.138171254 1 44 5 5 1 "high"
