orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1110,run3,6,12885,high3,list6_12885_permission_high3,permission,4.4927,3,92.89,10,,2,20,1,2,21,22,23,24,3350,11350,list6_12885_permission_high3
1111,run3,6,11953,high1,list6_11953_nut_high1,nut,4.1938,1,6.5,3,,1,10,1,2,11,12,13,14,3400,11400,list6_11953_nut_high1
1112,run3,6,16070,high1,list6_16070_site_high1,site,4.2835,1,21,4,,1,10,1,2,11,12,13,14,3450,11450,list6_16070_site_high1
1113,run3,6,19463,high1,list6_19463_wound_high1,wound,4.4235,1,33.5,5,negative connotation,1,10,1,2,11,12,13,14,3200,11200,list6_19463_wound_high1
1114,run3,6,2751,high1,list6_2751_cart_high1,cart,3.9565,1,34,4,,1,10,1,2,11,12,13,14,3350,11350,list6_2751_cart_high1
1115,run3,6,16981,high1,list6_16981_streak_high1,streak,3.7631,1,45.4,6,,1,10,1,2,11,12,13,14,3500,11500,list6_16981_streak_high1
1116,run3,6,13880,low1,list6_13880_prune_low1,prune,3.1726,1,30.5,5,,3,30,1,2,31,32,33,34,3300,11300,list6_13880_prune_low1
1117,run3,6,7084,high3,list6_7084_furniture_high3,furniture,4.1783,3,35.13,9,,2,20,1,2,21,22,23,24,3300,11300,list6_7084_furniture_high3
1118,run3,6,8897,high3,list6_8897_industry_high3,industry,4.0678,3,50.14,8,,2,20,1,2,21,22,23,24,3500,11500,list6_8897_industry_high3
1119,run3,6,10414,low1,list6_10414_crow_low1,crow,3.649768989,1,13,4,not a word,3,30,1,2,31,32,33,34,3200,11200,list6_10414_mag_low1
1120,run3,6,3214,low1,list6_3214_chump_low1,chump,3.6141,1,23.25,5,negative connotation,3,30,1,2,31,32,33,34,3200,11200,list6_3214_chump_low1
1121,run4,6,5739,high3,list6_5739_emperor_high3,emperor,4.1313,3,34.67,7,,2,20,1,2,21,22,23,24,3250,11250,list6_5739_emperor_high3
1122,run4,6,5001,high3,list6_5001_director_high3,director,4.5555,3,50.14,8,"move this or ""direction"" to another list",2,20,1,2,21,22,23,24,3450,11450,list7_5001_director_high3
1123,run4,6,694,low1,list6_694_ark_low1,ark,3.5929,1,3,3,,3,30,1,2,31,32,33,34,3250,11250,list6_694_ark_low1
1124,run4,6,889,high3,list6_889_attraction_high3,attraction,3.8347,3,117.89,10,,2,20,1,2,21,22,23,24,3450,11450,list6_889_attraction_high3
1125,run4,6,4892,low3,list6_4892_diaphragm_low3,diaphragm,3.3171,3,32.63,9,,4,40,1,2,41,42,43,44,3250,11250,list6_4892_diaphragm_low3
1126,run4,6,10549,high3,list6_10549_maniac_high3,maniac,3.9731,3,48.2,6,"negative connotation, insensitive",2,20,1,2,21,22,23,24,3500,11500,list6_10549_maniac_high3
1127,run4,6,10398,low3,list6_10398_removal_low3,removal,3.317140007,3,58.83,7,2 syllable word,4,40,1,2,41,42,43,44,3500,11500,list6_10398_mackerel_low3
1128,run4,6,16020,high1,list6_16020_silk_high1,silk,3.9908,1,22,4,,1,10,1,2,11,12,13,14,3450,11450,list6_16020_silk_high1
1129,run4,6,15798,high1,list6_15798_sheet_high1,sheet,4.0649,1,38.25,5,,1,10,1,2,11,12,13,14,3200,11200,list6_15798_sheet_high1
1130,run4,6,15707,low3,list6_15707_sesame_low3,sesame,3.1895,3,28.4,6,pretty sure this is an adjective...,4,40,1,2,41,42,43,44,3400,11400,list6_15707_sesame_low3
1131,run4,6,15453,high1,list6_15453_scout_high1,scout,4.1101,1,19.75,5,,1,10,1,2,11,12,13,14,3250,11250,list6_15453_scout_high1
1132,run4,6,14190,high1,list6_14190_rag_high1,rag,3.681,1,10,3,,1,10,1,2,11,12,13,14,3450,11450,list6_14190_rag_high1
1133,run4,6,9999,high3,list6_9999_lieutenant_high3,lieutenant,5.0167,3,39.78,10,,2,20,1,2,21,22,23,24,3500,11500,list6_9999_lieutenant_high3
1134,run4,6,470,high3,list6_470_animal_high3,animal,4.6575,3,31.8,6,this is a practice word,2,20,1,2,21,22,23,24,3200,11200,list6_470_animal_high3
1135,run4,6,1661,low1,list6_1661_bleep_low1,bleep,3.4286,1,27.5,5,,3,30,1,2,31,32,33,34,3250,11250,list6_1661_bleep_low1
