numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
15094	50223	princesses	66	66	38	61	33	1.2941	1.8261	0.45303	1.5911	Noun	66	1	3.1179	3	75.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
17014	57577	sediment	21	21	12	21	12	0.41176	1.3424	0.14306	1.1139	Noun	21	1	2.6343	3	56.29	8	1	1	low	low3	4	40	1	2	41	42	43	44	
16086	54457	responder	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	81.38	9	1	1	low	low3	4	40	1	2	41	42	43	44	
17883	60682	soles	47	47	40	46	39	0.92157	1.6812	0.47687	1.6128	Noun	47	1	2.9731	1	82.25	5	9	1	low	low1	3	30	1	2	31	32	33	34	
7012	23861	feist	1	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	1	23.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	
6426	21668	enlarger	7	7	4	6	4	0.13725	0.90309	0.047687	0.69897	Noun	7	1	2.1949	3	55.57	8	2	1	low	low3	4	40	1	2	41	42	43	44	
15734	52494	readership	11	11	10	9	8	0.21569	1.0792	0.11922	1.0414	Noun	11	1	2.371	3	51.33	10	1	1	low	low3	4	40	1	2	41	42	43	44	
7309	24711	flattery	70	70	65	53	49	1.3725	1.8513	0.77492	1.8195	Noun	70	1	3.1431	3	85.14	8	1	1	low	low3	4	40	1	2	41	42	43	44	
5056	16596	decider	6	6	5	6	5	0.11765	0.8451	0.059609	0.77815	Noun	6	1	2.1369	3	103.67	7	2	1	low	low3	4	40	1	2	41	42	43	44	
16948	57405	seafarer	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	88.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
279	986	aerosol	14	14	10	14	10	0.27451	1.1761	0.11922	1.0414	Noun	14	1	2.4679	3	25.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	
18318	62246	steaks	204	204	145	184	137	4	2.3118	1.7287	2.1644	Noun	204	1	3.6036	1	52.6	6	2	1	low	low1	3	30	1	2	31	32	33	34	
5369	17944	dialect	68	68	54	63	51	1.3333	1.8388	0.64378	1.7404	Noun	68	1	3.1307	3	44.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	
18612	63380	subscriber	21	21	15	21	15	0.41176	1.3424	0.17883	1.2041	Noun	21	1	2.6343	3	35.78	10	1	1	low	low3	4	40	1	2	41	42	43	44	
13598	45581	oversea	2	2	2	1	1	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	31.33	7	1	1	low	low3	4	40	1	2	41	42	43	44	
5336	17828	devices	188	188	154	186	152	3.6863	2.2765	1.836	2.1903	Noun	188	1	3.5683	3	123.17	7	0	1	low	low3	4	40	1	2	41	42	43	44	
2243	7340	borrowings	2	2	1	2	1	0.039216	0.47712	0.011922	0.30103	Noun	2	1	1.769	3	29	10	0	1	low	low3	4	40	1	2	41	42	43	44	
13859	46356	parentage	8	8	8	8	8	0.15686	0.95424	0.095374	0.95424	Noun	8	1	2.2461	3	63.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
7350	24869	flirtation	36	36	28	28	26	0.70588	1.5682	0.33381	1.4624	Noun	36	1	2.86	3	130.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
15981	53903	rendition	22	22	22	22	22	0.43137	1.3617	0.26228	1.3617	Noun	22	1	2.6536	3	134.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
