numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
8188	8187	hedge	29985	79	58	73	54	1.549	1.9031	0.69146	1.7709	Noun	66	0.83544	3.1949	1	23.5	5	3	1	low	
9346	9345	jug	35123	134	75	118	70	2.6275	2.1303	0.89413	1.8808	Noun	134	1	3.4222	1	6	3	13	1	low	
2309	2308	bun	8462	147	109	111	85	2.8824	2.1703	1.2995	2.0414	Noun	145	0.98639	3.4621	1	8	3	17	1	low	
17602	17601	teen	65311	209	131	126	93	4.098	2.3222	1.5618	2.1206	Noun	204	0.97608	3.6141	1	27	4	7	1	low	
1157	1156	bane	4674	94	34	24	22	1.8431	1.9777	0.40534	1.5441	Noun	88	0.93617	3.2696	1	36.67	4	18	1	low	
1658	1657	bleach	6478	118	71	110	70	2.3137	2.0755	0.84645	1.8573	Noun	84	0.70588	3.3674	1	37.4	6	1	1	low	
6625	6624	flap	24641	135	105	112	94	2.6471	2.1335	1.2518	2.0253	Noun	82	0.60741	3.4254	1	18.67	4	10	1	low	
14913	14912	roar	55348	205	143	180	131	4.0196	2.3139	1.7048	2.1584	Noun	105	0.5122	3.6057	1	25	4	6	1	low	
17785	17784	thirst	66012	190	152	185	150	3.7255	2.281	1.8121	2.1847	Noun	167	0.87895	3.5729	1	36.2	6	0	1	low	
11568	11567	mutt	42364	202	126	174	116	3.9608	2.3075	1.5021	2.1038	Noun	202	1	3.5993	1	10.67	4	4	1	low	
16631	16630	spouse	61644	97	80	96	79	1.902	1.9912	0.95374	1.9085	Noun	97	1	3.2831	1	37	6	0	1	low	
16343	16342	sob	60519	77	75	57	56	1.5098	1.8921	0.89413	1.8808	Noun	57	0.74026	3.1839	1	9	3	18	1	low	
1654	1653	blaze	6468	107	77	88	72	2.098	2.0334	0.91798	1.8921	Noun	80	0.74766	3.3253	1	30	5	5	1	low	
16526	16525	speck	61213	95	62	58	51	1.8627	1.9823	0.73915	1.7993	Noun	90	0.94737	3.2741	1	30.75	5	2	1	low	
13900	13899	pub	51057	190	115	169	112	3.7255	2.281	1.371	2.0645	Noun	190	1	3.5729	1	6.5	3	11	1	low	
12913	12912	pest	47573	146	112	116	97	2.8627	2.1673	1.3352	2.0531	Noun	145	1	3.4592	1	23.33	4	14	1	low	
167	166	aide	1278	103	81	87	70	2.0196	2.017	0.96567	1.9138	Noun	103	1	3.3089	1	13.67	4	8	1	low	
