ITEM   	 BF_TP 	 LEN_L 	   N   	
justices	 109.29	   8	   0	
jut	   6.00	   3	  12	
jute	  16.33	   4	   4	
juveniles	  78.25	   9	   0	
kabuki	   8.40	   6	   0	
kale	  22.67	   4	   9	
kangaroo	  32.86	   8	   0	
kangaroos	  29.50	   9	   0	
kapp	   5.00	   4	   0	
karate	  54.00	   6	   0	
katydid	  17.17	   7	   0	
kayaker	  72.50	   7	   0	
kayakers	  65.86	   8	   0	
keg	   4.00	   3	   6	
kegs	  15.00	   4	   4	
keister	 115.33	   7	   0	
kelp	  13.00	   4	   3	
keratin	  46.50	   7	   0	
kerb	  11.33	   4	   2	
kerfuffle	  25.00	   9	   0	
kerns	  31.00	   5	   2	
kerosene	  42.29	   8	   0	
key	   3.50	   3	   5	
keys	   8.67	   4	   1	
khan	  10.67	   4	   1	
kid	   6.00	   3	  10	
kidnapper	  23.88	   9	   1	
kidnappers	  26.56	  10	   0	
kidnapping	 114.67	  10	   0	
kids	  16.67	   4	   5	
kielbasa	  11.71	   8	   0	
kiln	  17.67	   4	   3	
kilobyte	  28.71	   8	   0	
kilobytes	  83.00	   9	   0	
kilogram	  19.00	   8	   0	
kilograms	  22.63	   9	   0	
kilowatt	  31.43	   8	   0	
kilowatts	  44.13	   9	   0	
kilt	  24.33	   4	   9	
kilts	  50.25	   5	   5	
kimono	  21.80	   6	   0	
kimonos	  16.83	   7	   0	
kin	   7.50	   3	  14	
kind	  29.33	   4	   8	
kindler	 134.83	   7	   1	
kinds	  44.75	   5	   9	
kinetics	  65.86	   8	   0	
king	  31.00	   4	   9	
kingfisher	  28.56	  10	   0	
kingmaker	  29.38	   9	   0	
kings	  36.25	   5	   7	
kinks	  47.75	   5	  10	
kip	   7.00	   3	  12	
kirks	  36.50	   5	   2	
kirsch	  24.60	   6	   1	
kit	   7.00	   3	  12	
kitchener	  50.13	   9	   0	
kite	  19.67	   4	   6	
kites	  80.75	   5	   5	
kits	  25.67	   4	  11	
kitsch	  21.20	   6	   1	
klick	  26.25	   5	   3	
klutz	  13.75	   5	   0	
knack	  25.50	   5	   2	
knave	  19.00	   5	   0	
knaves	  93.20	   6	   1	
knee	   5.33	   4	   1	
knees	  71.25	   5	   1	
knell	  18.50	   5	   3	
knick	  22.50	   5	   2	
knife	   8.75	   5	   0	
knights	  44.67	   7	   0	
knives	  90.20	   6	   1	
knob	   5.33	   4	   3	
knobs	  15.50	   5	   3	
knocks	  27.40	   6	   0	
knoll	  17.00	   5	   1	
knorr	  14.75	   5	   0	
knot	  10.67	   4	   4	
knots	  45.25	   5	   2	
knowns	  25.60	   6	   0	
koala	  16.75	   5	   0	
koalas	  18.00	   6	   0	
kook	  21.00	   4	   7	
kooks	  40.00	   5	   6	
kops	  14.67	   4	   6	
koreans	  59.17	   7	   0	
kraut	  24.75	   5	   0	
krill	  35.50	   5	   4	
kung	  19.00	   4	   7	
lab	   7.00	   3	  14	
laborer	  85.17	   7	   0	
laborers	  87.14	   8	   0	
labrador	  28.29	   8	   0	
labs	  21.00	   4	  11	
labyrinth	  33.75	   9	   0	
lace	  23.33	   4	  13	
lack	  33.33	   4	  16	
lackluster	  43.67	  10	   0	
lactation	 113.38	   9	   0	
lad	  10.00	   3	  20	
ladino	  73.00	   6	   1	
lads	  22.00	   4	  12	
ladybird	  20.14	   8	   0	
ladybug	  12.83	   7	   0	
ladybugs	  21.14	   8	   0	
lag	  10.50	   3	  22	
lags	  28.67	   4	  16	
lair	  24.33	   4	   5	
lait	  28.33	   4	   7	
lake	  21.67	   4	  15	
lakes	  78.75	   5	  10	
lamb	  20.33	   4	   3	
lambs	  21.00	   5	   2	
lamina	  73.80	   6	   0	
lamp	  23.33	   4	   8	
lamps	  32.75	   5	   5	
lan	   9.00	   3	  18	
lance	  39.25	   5	   1	
land	  33.67	   4	  11	
landlady	  48.14	   8	   0	
landowner	  48.75	   9	   0	
landowners	  45.56	  10	   0	
lands	  49.25	   5	   7	
landscaper	  32.22	  10	   2	
lane	  36.67	   4	  16	
lanes	  93.25	   5	   9	
languages	  66.50	   9	   0	
lanolin	  37.00	   7	   0	
lap	  10.00	   3	  20	
laps	  24.33	   4	  13	
lapse	  28.25	   5	   0	
larceny	  61.50	   7	   0	
larch	  43.50	   5	   3	
lard	  36.00	   4	  11	
lariat	  59.60	   6	   0	
lark	  36.00	   4	   9	
larks	  51.50	   5	   5	
lasagna	  24.83	   7	   0	
lass	  28.33	   4	  13	
latch	  42.25	   5	   7	
latecomer	  48.25	   9	   0	
latency	  44.00	   7	   0	
lath	  23.33	   4	   7	
lathe	  26.00	   5	   2	
lathes	 109.00	   6	   2	
latino	  82.00	   6	   0	
latinos	  41.17	   7	   0	
latitude	  47.00	   8	   0	
latitudes	  76.13	   9	   0	
laudanum	  25.14	   8	   0	
lauds	  32.50	   5	   1	
launderer	  57.00	   9	   1	
launderers	  47.78	  10	   0	
laundering	 150.22	  10	   0	
laundromat	  13.89	  10	   0	
laureate	  47.14	   8	   0	
laureates	 113.00	   9	   0	
lavender	  75.71	   8	   0	
law	   8.50	   3	  16	
lawbreaker	  20.33	  10	   0	
lawmaker	  39.43	   8	   0	
lawmakers	  48.13	   9	   0	
lawn	  19.67	   4	   7	
lawnmower	  21.50	   9	   0	
lawns	  28.50	   5	   3	
laws	  20.33	   4	  12	
lawyering	 223.00	   9	   0	
laxative	  67.00	   8	   0	
laxatives	  66.75	   9	   0	
laxity	  36.00	   6	   0	
layaway	  20.50	   7	   0	
layering	 283.43	   8	   0	
layover	  72.00	   7	   0	
layperson	  53.63	   9	   0	
lazarus	  25.17	   7	   0	
laziness	  80.29	   8	   0	
lbs	   0.00	   3	   0	
leadership	  32.33	  10	   1	
leaf	  27.67	   4	   7	
leafs	  32.50	   5	   5	
league	  38.20	   6	   0	
leagues	 118.50	   7	   0	
leak	  29.00	   4	   9	
leaks	  54.25	   5	   7	
leap	  31.00	   4	   7	
leas	  29.33	   4	  14	
lease	  51.25	   5	   5	
leash	  44.00	   5	   3	
lech	  13.00	   4	   2	
lecithin	  37.14	   8	   0	
lecturer	  87.43	   8	   2	
lecturers	  66.25	   9	   0	
ledge	  24.00	   5	   4	
leech	  35.75	   5	   2	
leek	  24.67	   4	   8	
leeks	  40.75	   5	   5	
leftovers	  53.63	   9	   0	
leg	   5.50	   3	  12	
legacies	 106.29	   8	   0	
legacy	  20.40	   6	   0	
legalese	  66.86	   8	   0	
legs	  19.00	   4	  10	
leis	  10.00	   4	   7	
leitmotif	  15.13	   9	   0	
lek	   3.00	   3	   6	
lemonade	  32.29	   8	   0	
lene	  25.67	   4	   7	
length	  36.20	   6	   0	
lengths	  37.00	   7	   1	
leniency	  48.29	   8	   0	
lens	  27.00	   4	  13	
leotard	  40.00	   7	   1	
lep	   4.50	   3	  12	
leprosy	  25.67	   7	   0	
lesbian	  35.50	   7	   0	
lesbians	  42.57	   8	   0	
lessening	 221.38	   9	   0	
lethargy	  25.71	   8	   0	
letterhead	  29.33	  10	   0	
lettering	 242.38	   9	   1	
leu	   3.00	   3	   6	
leukocyte	  18.88	   9	   0	
levelers	 100.57	   8	   0	
leverage	  61.29	   8	   1	
levity	  42.60	   6	   0	
lexicon	  31.83	   7	   0	
liaison	  32.50	   7	   0	
liaisons	  49.86	   8	   0	
lib	   5.50	   3	  11	
liberals	  53.86	   8	   0	
liberties	 133.00	   9	   0	
libertine	 172.25	   9	   0	
libertines	  79.89	  10	   0	
liberty	  38.33	   7	   0	
libido	  18.40	   6	   0	
libraries	 104.88	   9	   0	
library	  42.00	   7	   0	
libration	 108.88	   9	   1	
libretto	  22.43	   8	   0	
libyans	  36.83	   7	   0	
lice	  20.67	   4	  13	
licences	 104.00	   8	   1	
licensee	  44.71	   8	   2	
licenses	 106.14	   8	   2	
licensing	 211.00	   9	   0	
licensure	  34.63	   9	   0	
licorice	  61.29	   8	   0	
lid	   6.50	   3	  13	
lids	  21.33	   4	   6	
lief	  16.33	   4	   3	
liege	  23.50	   5	   1	
liens	  31.75	   5	   1	
lies	  25.33	   4	   9	
lieutenant	  39.78	  10	   0	
life	  14.00	   4	  10	
lifesaver	  35.50	   9	   0	
lifesavers	  31.00	  10	   0	
ligament	  50.71	   8	   0	
ligaments	  51.13	   9	   0	
ligation	  92.14	   8	   1	
light	  18.75	   5	   8	
lights	  49.60	   6	   6	
likelihood	  18.00	  10	   1	
likenesses	  61.22	  10	   0	
lile	  32.33	   4	  16	
lilt	  29.00	   4	  10	
limb	  15.00	   4	   3	
limbs	  21.50	   5	   4	
lime	  18.67	   4	  12	
limericks	  48.25	   9	   0	
limes	  76.00	   5	   9	
limousine	 126.13	   9	   0	
limousines	  62.33	  10	   0	
limp	  18.00	   4	   6	
limps	  33.25	   5	   5	
linch	  46.75	   5	   6	
line	  37.00	   4	  22	
lineage	  50.17	   7	   1	
linebacker	  24.00	  10	   0	
lines	  93.00	   5	  17	
ling	  35.67	   4	  13	
lingerie	  49.86	   8	   0	
lings	  40.50	   5	  10	
linguine	 154.00	   8	   0	
link	  34.00	   4	  12	
linkages	  95.86	   8	   0	
links	  52.00	   5	   8	
linotype	  27.14	   8	   0	
lint	  35.33	   4	  13	
lionheart	  23.38	   9	   0	
lip	   7.50	   3	  15	
lips	  22.33	   4	  11	
lisp	  17.33	   4	   3	
list	  28.00	   4	  11	
listener	 100.43	   8	   1	
listeners	 105.00	   9	   0	
lists	  56.50	   5	   5	
liszt	  14.25	   5	   0	
litany	  33.20	   6	   0	
lite	  24.33	   4	  15	
lites	  85.00	   5	  10	
lithium	  28.17	   7	   0	
lithograph	  16.00	  10	   0	
litigant	  52.43	   8	   0	
litigants	  48.00	   9	   0	
lits	  30.33	   4	  14	
liturgy	  25.17	   7	   0	
livelihood	  21.56	  10	   1	
livery	  54.60	   6	   2	
lives	  85.50	   5	  12	
load	  23.67	   4	   9	
loads	  39.25	   5	   6	
loaf	  20.00	   4	   4	
loam	  24.67	   4	   6	
loan	  25.33	   4	   8	
loans	  44.50	   5	   4	
loaves	 102.80	   6	   1	
lobbyist	  41.71	   8	   0	
lobbyists	  28.00	   9	   0	
lobe	  16.67	   4	   7	
lobes	  71.75	   5	   3	
location	  87.43	   8	   1	
locations	  56.38	   9	   0	
locator	  33.00	   7	   0	
locators	  64.14	   8	   0	
loch	  18.00	   4	   3	
locks	  44.75	   5	  11	
lode	  22.33	   4	  11	
lodge	  28.00	   5	   2	
loft	  16.00	   4	   6	
lofts	  45.00	   5	   3	
log	   7.50	   3	  16	
loge	  17.33	   4	   7	
logistics	  68.75	   9	   0	
logs	  25.67	   4	  15	
loin	  21.00	   4	   5	
lollipop	  35.71	   8	   0	
lollipops	  32.38	   9	   0	
londoner	  80.00	   8	   0	
londoners	  82.38	   9	   0	
loneliness	  66.00	  10	   1	
longacre	  39.57	   8	   0	
longe	  36.00	   5	   3	
longitude	  41.25	   9	   0	
longitudes	  67.33	  10	   0	
loo	   7.50	   3	  13	
lookalike	  38.13	   9	   0	
loom	  31.00	   4	  10	
loon	  31.67	   4	  12	
loons	  47.50	   5	   9	
loop	  32.67	   4	   7	
loops	  42.50	   5	   4	
loos	  30.67	   4	  13	
loot	  35.00	   4	  16	
lord	  28.33	   4	   7	
lords	  44.50	   5	   4	
lore	  36.00	   4	  17	
loss	  24.33	   4	  12	
lot	   8.50	   3	  17	
lottery	 108.00	   7	   1	
lounge	  42.60	   6	   0	
loupe	  27.50	   5	   2	
lour	  21.00	   4	   9	
louse	  42.25	   5	   6	
lout	  21.33	   4	   9	
louts	  59.25	   5	   3	
lovemaking	 120.89	  10	   0	
lows	  20.67	   4	  11	
lox	   5.50	   3	  12	
loyalists	  39.88	   9	   0	
loyalties	 106.88	   9	   1	
loyalty	  27.67	   7	   2	
lozenges	  95.14	   8	   0	
lube	   8.00	   4	   5	
lubricant	  49.88	   9	   0	
lubricants	  50.33	  10	   0	
luck	  22.00	   4	  12	
lucks	  39.25	   5	  10	
lug	   5.50	   3	  12	
luge	   8.33	   4	   3	
lugs	  16.67	   4	   9	
lull	  25.67	   4	  10	
lullabies	  77.13	   9	   0	
lullaby	  38.00	   7	   0	
lum	   3.50	   3	   8	
lumbago	  28.00	   7	   0	
lumberjack	  20.33	  10	   0	
lumberman	  37.75	   9	   0	
lumberyard	  23.11	  10	   0	
lumina	  64.00	   6	   0	
luminal	  43.50	   7	   0	
lump	  13.67	   4	   8	
lumps	  31.00	   5	   9	
lunacy	  20.60	   6	   0	
lunatic	  42.83	   7	   0	
lunatics	  69.71	   8	   0	
lunch	  33.50	   5	   6	
lung	  22.00	   4	   7	
lungs	  27.25	   5	   4	
lurch	  33.00	   5	   2	
lust	  24.33	   4	  12	
lute	  16.67	   4	   5	
lutes	  77.00	   5	   2	
lutherans	  62.25	   9	   0	
luxuries	 111.43	   8	   0	
luxury	  20.00	   6	   0	
lye	   3.50	   3	   7	
lymph	   9.00	   5	   1	
lymphocyte	  17.33	  10	   0	
lymphoma	  17.86	   8	   0	
lymphomas	  15.38	   9	   0	
lynx	   1.00	   4	   0	
lyonnaise	  23.25	   9	   0	
lyre	  14.33	   4	   6	
lyricist	  55.14	   8	   1	
mach	  22.00	   4	   7	
machete	  56.17	   7	   0	
machetes	 127.00	   8	   0	
machinists	  38.67	  10	   0	
machismo	  27.14	   8	   0	
mackerel	  77.43	   8	   0	
macrame	  36.00	   7	   0	
madrigal	  43.86	   8	   0	
madrigals	  34.50	   9	   0	
maffia	  27.00	   6	   1	
mafia	  15.00	   5	   2	
mag	  11.00	   3	  22	
magazine	 143.71	   8	   0	
magazines	  73.38	   9	   0	
magenta	  37.83	   7	   0	
magician	  42.57	   8	   0	
magicians	  46.00	   9	   0	
magistrate	  41.22	  10	   0	
magnesia	  23.29	   8	   0	
magnetics	  67.38	   9	   0	
magnitude	  33.25	   9	   0	
magnolia	  23.14	   8	   0	
magnolias	  42.88	   9	   0	
mags	  28.67	   4	  17	
maid	  26.33	   4	   7	
maids	  42.25	   5	   3	
mail	  27.67	   4	  15	
mailboxes	  58.63	   9	   0	
mails	  52.75	   5	  11	
mainlander	  35.11	  10	   0	
mains	  56.25	   5	   5	
maize	  26.00	   5	   1	
majesty	  33.50	   7	   0	
maladies	 120.14	   8	   0	
malady	  45.00	   6	   0	
malamute	  43.00	   8	   0	
malarkey	  35.57	   8	   0	
malaysians	  30.44	  10	   0	
malcontent	  49.67	  10	   0	
males	  87.00	   5	  15	
mall	  38.00	   4	  15	
malls	  56.50	   5	   9	
malt	  29.67	   4	   7	
malts	  58.00	   5	   5	
mam	   9.00	   3	  18	
mammogram	  22.13	   9	   0	
man	   9.50	   3	  19	
management	  49.11	  10	   0	
manager	 107.83	   7	   2	
managers	  95.00	   8	   0	
manatee	  93.83	   7	   0	
manatees	 120.29	   8	   0	
mandala	  55.83	   7	   0	
mandarin	  51.00	   8	   0	
mandarins	 158.88	   9	   0	
mandible	  66.43	   8	   0	
mandolin	  45.71	   8	   0	
mane	  36.67	   4	  17	
manes	  96.25	   5	  11	
maneuver	  64.86	   8	   0	
maneuvers	  59.00	   9	   0	
manganese	  64.50	   9	   0	
mange	  46.50	   5	   5	
mania	  32.75	   5	   4	
maniac	  48.20	   6	   0	
maniacs	  48.83	   7	   0	
manicure	  50.14	   8	   0	
manifold	  40.71	   8	   0	
mannequin	  24.13	   9	   0	
mannequins	  83.33	  10	   0	
mannerist	  88.25	   9	   1	
manpower	  63.00	   8	   0	
mans	  38.00	   4	  14	
mantilla	  53.14	   8	   0	
manual	  54.40	   6	   0	
manuals	  56.33	   7	   0	
manuscript	  33.67	  10	   0	
map	  10.50	   3	  20	
maps	  24.33	   4	  12	
marabou	  59.83	   7	   0	
marathon	  71.29	   8	   0	
marathons	  62.50	   9	   0	
marauder	  84.57	   8	   0	
marauders	  73.13	   9	   0	
mare	  43.67	   4	  22	
mares	  97.00	   5	  13	
margarine	 156.38	   9	   0	
marguerite	  61.11	  10	   0	
marigold	  52.86	   8	   0	
marigolds	  44.00	   9	   0	
marimba	  56.00	   7	   0	
marinade	  66.14	   8	   0	
marinas	  71.50	   7	   1	
mariner	 132.17	   7	   1	
mariners	 128.57	   8	   0	
maritimes	  94.25	   9	   0	
marketeer	  55.25	   9	   0	
marketeers	  43.00	  10	   0	
marketer	 103.43	   8	   1	
marketers	  76.00	   9	   0	
marketing	 244.63	   9	   0	
marks	  54.50	   5	   5	
marmalade	  51.13	   9	   0	
marmalades	  65.11	  10	   0	
marmoset	  56.86	   8	   0	
marque	  49.00	   6	   2	
marriages	  89.38	   9	   1	
marsala	  60.67	   7	   0	
mart	  36.33	   4	  13	
martini	 214.17	   7	   1	
martinis	  73.57	   8	   0	
marts	  66.50	   5	   8	
martyrdom	  33.75	   9	   0	
marxism	  60.00	   7	   0	
mascara	  46.50	   7	   0	
mash	  30.33	   4	  15	
mask	  26.33	   4	   9	
masks	  45.25	   5	   3	
masochist	  51.00	   9	   1	
masonry	  47.17	   7	   0	
masquerade	  31.67	  10	   0	
massacre	  35.86	   8	   0	
massacres	  77.38	   9	   1	
massager	  63.86	   8	   1	
massagers	  59.00	   9	   0	
massages	 103.14	   8	   3	
mast	  34.67	   4	  16	
mastermind	  97.33	  10	   0	
masterwork	  41.89	  10	   0	
mastery	 129.50	   7	   2	
mastodon	  55.57	   8	   0	
masts	  62.75	   5	   5	
mat	  11.50	   3	  22	
matador	  42.83	   7	   0	
match	  45.25	   5	   7	
matchboxes	  50.00	  10	   0	
matchmaker	  27.78	  10	   0	
mate	  28.00	   4	  19	
mates	  94.75	   5	  18	
math	  23.33	   4	  10	
matinee	  64.50	   7	   0	
matriarch	  39.38	   9	   1	
matrices	 113.29	   8	   0	
mats	  34.00	   4	  16	
matte	  39.75	   5	   0	
mattes	 148.40	   6	   2	
mattresses	  72.11	  10	   0	
maverick	  75.14	   8	   0	
mavericks	  55.25	   9	   0	
maw	   9.00	   3	  17	
maxilla	  27.17	   7	   0	
maxima	  22.40	   6	   1	
mayflower	  27.50	   9	   0	
mayonnaise	  26.33	  10	   0	
maze	  16.00	   4	  11	
mea	   3.50	   3	   7	
mead	  29.33	   4	   9	
meadowlark	  18.89	  10	   0	
meads	  50.50	   5	   7	
meal	  31.33	   4	  12	
meals	  56.50	   5	   8	
meanders	  98.71	   8	   0	
meat	  32.00	   4	  13	
meats	  68.75	   5	  12	
mech	  11.00	   4	   4	
mechanic	  41.57	   8	   0	
mechanics	  48.75	   9	   0	
medalist	  80.43	   8	   0	
medalists	  48.38	   9	   0	
medallion	  82.50	   9	   0	
medallions	  47.00	  10	   0	
media	  13.50	   5	   1	
median	  30.80	   6	   0	
medicine	 158.43	   8	   0	
medicines	  90.00	   9	   0	
medico	  31.20	   6	   1	
medio	  13.75	   5	   2	
medium	  27.20	   6	   1	
mediums	  19.67	   7	   0	
medulla	  24.00	   7	   0	
mee	   5.50	   3	  11	
megabucks	  14.50	   9	   0	
megabyte	  29.57	   8	   0	
megabytes	  85.75	   9	   0	
megahertz	  26.38	   9	   0	
megaphone	  35.25	   9	   0	
megaphones	  59.89	  10	   0	
megatons	  53.00	   8	   0	
meiosis	  14.67	   7	   0	
melanin	  37.50	   7	   0	
meld	  17.67	   4	   7	
mele	  23.67	   4	   6	
melodies	 114.71	   8	   0	
melody	  30.80	   6	   0	
membership	  30.44	  10	   0	
memento	  28.33	   7	   0	
mementos	  45.00	   8	   0	
memories	 129.57	   8	   0	
memory	  37.00	   6	   0	
men	   6.50	   3	  13	
menaces	 113.67	   7	   1	
mennonites	  79.67	  10	   0	
menopause	  25.88	   9	   0	
menorah	  31.33	   7	   0	
menorahs	  42.57	   8	   0	
mens	  25.00	   4	  11	
mensch	  35.40	   6	   0	
merc	  11.67	   4	   2	
merino	  83.20	   6	   0	
merrimack	  41.13	   9	   0	
mescaline	 145.38	   9	   0	
mesh	  17.67	   4	   3	
mess	  15.67	   4	   7	
messages	  99.86	   8	   0	
messaging	 199.75	   9	   1	
messenger	  62.88	   9	   0	
messengers	  51.78	  10	   0	
messiah	  45.33	   7	   0	
messiahs	  28.29	   8	   0	
mestizo	  71.67	   7	   0	
metairie	  25.71	   8	   0	
metalwork	  35.38	   9	   0	
metaphor	  26.57	   8	   0	
metaphors	  53.00	   9	   0	
meteor	  34.20	   6	   0	
meteors	  83.50	   7	   0	
metering	 295.29	   8	   0	
methadone	  40.00	   9	   0	
methanol	  26.14	   8	   0	
methodist	  48.25	   9	   0	
methylene	  45.75	   9	   0	
mets	  23.67	   4	  12	
mew	   4.50	   3	  11	
mexicans	  41.14	   8	   0	
mezuzah	   6.67	   7	   0	
miasma	  24.00	   6	   0	
mice	  18.00	   4	  14	
microchip	  22.13	   9	   0	
microchips	  21.89	  10	   0	
microfiche	  21.00	  10	   0	
microfilm	  26.50	   9	   0	
microgram	  21.63	   9	   0	
micrograms	  24.89	  10	   0	
microphone	  31.11	  10	   0	
microscope	  18.44	  10	   1	
microwave	  29.88	   9	   0	
microwaves	  54.56	  10	   0	
middleman	  21.00	   9	   1	
middlemen	  22.75	   9	   1	
midmorning	 131.33	  10	   0	
midseason	  41.13	   9	   0	
midsection	 119.56	  10	   0	
midshipman	  12.22	  10	   0	
midshipmen	  13.00	  10	   0	
midst	  22.50	   5	   1	
midsummer	  30.38	   9	   0	
midwinter	  75.38	   9	   0	
mien	  17.33	   4	   0	
mig	   5.50	   3	  14	
migration	 114.50	   9	   0	
migrations	  62.89	  10	   0	
migs	  21.33	   4	   8	
mikado	  16.40	   6	   0	
mikes	  74.00	   5	  10	
mil	   3.00	   3	   6	
mile	  29.67	   4	  18	
miles	  82.75	   5	  13	
militants	  57.50	   9	   0	
militia	  35.17	   7	   0	
militias	  80.57	   8	   0	
milk	  22.67	   4	   6	
milks	  42.50	   5	   4	
mill	  34.67	   4	  16	
milligram	  31.75	   9	   0	
milligrams	  26.33	  10	   0	
milliner	  94.71	   8	   0	
mils	  22.00	   4	   7	
milt	  26.33	   4	  15	
mime	  16.00	   4	   9	
mimicry	  37.67	   7	   0	
mimosa	  22.60	   6	   0	
min	   7.00	   3	  14	
minaret	  57.83	   7	   0	
minarets	  68.14	   8	   0	
mind	  31.33	   4	  12	
mindedness	  46.11	  10	   0	
minds	  48.25	   5	  10	
mineral	  61.33	   7	   0	
minerals	  66.29	   8	   0	
mines	  92.25	   5	  19	
minge	  42.50	   5	   5	
minibus	  40.00	   7	   0	
minimum	  34.33	   7	   0	
minimums	  29.14	   8	   0	
miniskirt	  24.38	   9	   0	
miniskirts	  28.22	  10	   0	
minister	 100.29	   8	   1	
ministers	  72.75	   9	   0	
ministries	  82.00	  10	   0	
ministry	  55.29	   8	   0	
minivan	  37.00	   7	   0	
minivans	  49.00	   8	   0	
mink	  31.33	   4	  13	
minks	  51.25	   5	  13	
mint	  32.67	   4	  10	
mints	  61.25	   5	   8	
minuet	  47.80	   6	   0	
minuses	 122.50	   7	   2	
minuteman	  27.63	   9	   1	
minutemen	  29.38	   9	   0	
miracle	  48.00	   7	   0	
miracles	 116.86	   8	   0	
mirages	 119.67	   7	   0	
mire	  27.00	   4	  16	
mirth	  28.75	   5	   3	
misbehaves	  58.00	  10	   0	
misconduct	  33.00	  10	   0	
miscreant	  53.75	   9	   0	
miscreants	  55.11	  10	   0	
miseries	 150.86	   8	   0	
misery	  58.60	   6	   1	
misfire	  38.83	   7	   0	
misfortune	  33.56	  10	   0	
misgiving	 199.25	   9	   0	
misgivings	  30.89	  10	   0	
mismatches	  66.78	  10	   0	
misnomer	  54.29	   8	   0	
misprision	  93.22	  10	   0	
miss	  19.00	   4	   7	
mist	  25.33	   4	   8	
mistletoe	  43.25	   9	   0	
mistresses	  86.11	  10	   0	
mistrial	  84.86	   8	   0	
mists	  55.75	   5	   5	
mite	  21.67	   4	  14	
mites	  84.25	   5	  12	
mitt	  14.33	   4	   3	
mitts	  52.25	   5	   3	
mnemonics	  33.25	   9	   0	
moat	  23.00	   4	   7	
moats	  59.50	   5	   5	
mob	   8.00	   3	  14	
mobs	  19.33	   4	  10	
moccasin	  22.71	   8	   0	
moccasins	 129.50	   9	   0	
mockery	 101.17	   7	   1	
mod	   7.50	   3	  16	
mode	  19.00	   4	  10	
modeling	 289.71	   8	   0	
moderates	 138.50	   9	   1	
modernists	  51.00	  10	   0	
modes	  81.75	   5	   7	
modesty	  32.50	   7	   0	
modicum	  27.67	   7	   0	
mohican	  26.17	   7	   0	
mohr	   8.00	   4	   1	
mol	   4.50	   3	   9	
molasses	 106.57	   8	   0	
mold	  23.67	   4	  11	
molds	  39.00	   5	   5	
mole	  29.67	   4	  14	
molecule	  43.43	   8	   0	
molecules	  84.25	   9	   0	
moles	  86.75	   5	  13	
molester	 100.43	   8	   1	
molesters	  80.38	   9	   0	
mom	   4.50	   3	   9	
momentum	  49.43	   8	   0	
moms	  18.67	   4	   6	
monarchies	  73.78	  10	   0	
monarchist	  41.33	  10	   0	
monarchy	  40.43	   8	   1	
mongoloid	  35.38	   9	   0	
moniker	  96.83	   7	   0	
monikers	  93.14	   8	   0	
monitor	  41.83	   7	   0	
monitors	  82.71	   8	   0	
monk	  24.33	   4	   3	
monks	  46.75	   5	   1	
monochrome	  32.89	  10	   0	
monocle	  47.00	   7	   0	
monogram	  37.00	   8	   0	
monograph	  38.88	   9	   0	
monolith	  86.57	   8	   0	
monoliths	  41.63	   9	   0	
monologue	  34.25	   9	   0	
monologues	  64.67	  10	   0	
monomers	  96.43	   8	   0	
monoplane	  48.00	   9	   0	
monoplanes	  78.22	  10	   0	
monorail	  55.14	   8	   0	
monotone	  56.86	   8	   1	
monoxide	  41.00	   8	   0	
monsignor	  39.38	   9	   0	
month	  33.50	   5	   1	
months	  39.20	   6	   1	
monument	  59.14	   8	   0	
monuments	  63.00	   9	   0	
moo	   7.00	   3	  12	
mood	  28.67	   4	   8	
moods	  44.75	   5	   7	
moon	  28.33	   4	  10	
moons	  49.50	   5	   5	
moor	  26.33	   4	   6	
moors	  44.25	   5	   3	
moos	  27.33	   4	  12	
moose	  44.25	   5	   4	
mop	   7.50	   3	  14	
mops	  21.33	   4	   9	
mor	   5.50	   3	  12	
moralist	 101.71	   8	   0	
moralists	  62.88	   9	   0	
morgue	  38.40	   6	   0	
morgues	 115.33	   7	   0	
moribund	  42.43	   8	   0	
mormonism	  63.50	   9	   0	
morn	  25.33	   4	  10	
moroccan	  42.14	   8	   0	
moroccans	  51.25	   9	   0	
morph	  27.50	   5	   0	
morphs	  35.40	   6	   0	
mortgages	  78.88	   9	   1	
mortician	  59.50	   9	   0	
mosaic	  34.80	   6	   0	
mosaics	  27.17	   7	   0	
mosh	  23.00	   4	   9	
mosque	  25.40	   6	   1	
mosques	 100.17	   7	   1	
mosquito	  36.00	   8	   0	
mosquitoes	  60.44	  10	   0	
mosquitos	  20.88	   9	   0	
mote	  21.67	   4	  13	
moth	  17.00	   4	   5	
motherhood	  28.44	  10	   0	
mothering	 236.50	   9	   1	
motherland	  32.78	  10	   0	
moths	  22.75	   5	   3	
motorbike	  26.38	   9	   0	
motorbikes	  51.44	  10	   0	
motorboat	  27.75	   9	   0	
motorcade	  32.88	   9	   0	
motorcades	  58.33	  10	   0	
motorcar	  35.29	   8	   0	
motorcars	  54.25	   9	   0	
motoring	 281.00	   8	   0	
motorist	  77.14	   8	   0	
motorists	  53.75	   9	   0	
mots	  27.67	   4	  13	
motte	  32.50	   5	   1	
mould	  31.75	   5	   4	
moulds	  40.40	   6	   2	
mound	  40.00	   5	   9	
mounds	  47.40	   6	   8	
mount	  43.50	   5	   4	
mounts	  65.00	   6	   2	
mouse	  44.25	   5	   6	
mousse	  39.60	   6	   0	
mouth	  38.00	   5	   3	
mouths	  38.20	   6	   2	
mph	   1.50	   3	   1	
muck	  23.33	   4	  14	
muckraker	  34.00	   9	   0	
