numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
166	165	aid	1276	709	496	613	448	13.902	2.8513	5.9132	2.6964	Noun	604	0.85311	4.1431	1	6	3	12	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_166_aid_high1	3500	11500
19525	19524	yarn	73860	81	60	78	59	1.5882	1.9138	0.71531	1.7853	Noun	81	1	3.2056	1	28	4	7	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_19525_yarn_low1	3250	11250
4131	4130	creator	15071	142	95	110	67	2.7843	2.1553	1.1326	1.9823	Noun	142	1	3.4472	3	59.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_4131_creator_low3	3400	11400
16862	16861	stew	62427	328	212	267	199	6.4314	2.5172	2.5274	2.3284	Noun	291	0.8872	3.809	1	10.33	4	5	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_16862_stew_high1	3350	11350
14898	14897	road	55319	5709	2766	5043	2567	111.9412	3.7566	32.9757	3.442	Noun	5690	0.9979	5.0485	1	22	4	8	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_14898_road_high1	3450	11450
9037	9036	instructor	33644	240	165	235	163	4.7059	2.382	1.9671	2.2201	Noun	240	1	3.6739	3	49.11	10	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_9037_instructor_high3	3400	11400
6452	6451	field	24146	3580	1919	3172	1803	70.1961	3.554	22.8779	3.2833	Noun	3333	0.93231	4.8458	1	20.25	5	3	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_6452_field_high1	3300	11300
15931	15930	shred	58832	150	129	134	118	2.9412	2.179	1.5379	2.1139	Noun	95	0.64189	3.4708	1	76.75	5	3	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_15931_shred_low1	3200	11200
7210	7209	gasoline	26764	333	218	312	202	6.5294	2.5237	2.599	2.3404	Noun	333	1	3.8156	3	178.86	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_7210_gasoline_high3	3350	11350
5736	5735	emotion	21269	423	341	398	330	8.2941	2.6274	4.0653	2.534	Noun	424	1	3.9192	3	65.5	7	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_5736_emotion_high3	3300	11300
16962	16961	strand	62810	94	64	52	45	1.8431	1.9777	0.76299	1.8129	Noun	54	0.57447	3.2696	1	51.8	6	0	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_16962_strand_low1	3400	11400
6140	6139	extortion	23127	131	112	111	96	2.5686	2.1206	1.3352	2.0531	Noun	131	1	3.4124	3	108.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_6140_extortion_low3	3300	11300
13270	13269	plot	48698	591	410	557	393	11.5882	2.7723	4.8879	2.6138	Noun	475	0.80372	4.0642	1	17.67	4	6	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_13270_plot_high1	3400	11400
9992	9991	lid	37154	251	219	247	217	4.9216	2.4014	2.6109	2.3424	Noun	250	1	3.6932	1	6.5	3	13	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_9992_lid_high1	3300	11300
10551	10550	manicure	38923	101	90	98	88	1.9804	2.0086	1.073	1.959	Noun	101	1	3.3004	3	50.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_10551_manicure_low3	3250	11250
5803	5802	engagement	21592	666	431	649	423	13.0588	2.8241	5.1383	2.6355	Noun	666	1	4.116	3	43.22	10	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_5803_engagement_high3	3250	11250
14851	14850	rim	55158	125	95	103	80	2.451	2.1004	1.1326	1.9823	Noun	121	0.97581	3.3922	1	5	3	10	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_14851_rim_low1	3400	11400
4820	4819	detector	17696	166	127	164	125	3.2549	2.2227	1.5141	2.1072	Noun	166	1	3.5146	3	52.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_4820_detector_low3	3500	11500
18709	18708	veal	70911	181	105	138	93	3.549	2.2601	1.2518	2.0253	Noun	176	0.97238	3.5519	1	30.67	4	11	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_18709_veal_low1	3250	11250
6411	6410	festival	24005	505	271	377	212	9.902	2.7042	3.2308	2.4346	Noun	503	0.99604	3.996	3	61.29	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_6411_festival_high3	3200	11200
2549	2548	camouflage	9174	94	77	76	64	1.8431	1.9777	0.91798	1.8921	Noun	64	0.68817	3.2696	3	17.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_2549_camouflage_low3	3300	11300
14677	14676	residue	54370	140	103	134	101	2.7451	2.1492	1.2279	2.017	Noun	140	1	3.4411	3	54	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_14677_residue_low3	3300	11300
13488	13487	post	49377	1654	1005	1205	835	32.4314	3.2188	11.9814	3.0026	Noun	1461	0.89194	4.5106	1	30.33	4	13	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_13488_post_high1	3500	11500
4738	4737	department	17309	3256	1788	2051	1268	63.8431	3.5128	21.3162	3.2526	Noun	3247	1	4.8047	3	56.44	10	1	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_4738_department_high3	3200	11200
7463	7462	goat	27673	537	338	480	315	10.5294	2.7308	4.0296	2.5302	Noun	536	0.99814	4.0226	1	20.67	4	7	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_7463_goat_high1	3200	11200
12748	12747	peach	46851	324	212	246	185	6.3529	2.5119	2.5274	2.3284	Noun	321	0.99381	3.8037	1	52.5	5	7	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_12748_peach_high1	3300	11300
12399	12398	pact	45838	192	115	185	112	3.7647	2.2856	1.371	2.0645	Noun	193	1	3.5774	1	20.67	4	7	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_12399_pact_low1	3400	11400
5608	5607	editor	20693	633	330	592	311	12.4118	2.8021	3.9342	2.5198	Noun	626	0.99365	4.0939	3	23.4	6	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_5608_editor_high3	3350	11350
16557	16556	sphere	61335	126	47	74	39	2.4706	2.1038	0.56032	1.6812	Noun	126	1	3.3956	1	50.4	6	0	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_16557_sphere_low1	3450	11450
6457	6456	fiend	24156	143	110	136	105	2.8039	2.1584	1.3114	2.0453	Noun	140	0.97902	3.4502	1	22	5	1	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_6457_fiend_low1	3400	11400
9821	9820	league	36660	950	607	576	391	18.6275	2.9782	7.2365	2.7839	Noun	936	0.9863	4.27	1	38.2	6	0	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_9821_league_high1	3450	11450
9263	9262	jet	34799	721	413	565	361	14.1373	2.8585	4.9237	2.617	Noun	722	0.99449	4.1504	1	6.5	3	13	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_9263_jet_high1	3400	11400
16638	16637	spree	61675	109	83	98	80	2.1373	2.0414	0.98951	1.9243	Noun	101	0.93519	3.3332	1	31.5	5	1	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_16638_spree_low1	3200	11200
15203	15202	salvation	56304	256	217	187	164	5.0196	2.4099	2.587	2.3385	Noun	255	1	3.7018	3	106.88	9	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_15203_salvation_high3	3200	11200
4076	4075	crab	14861	352	188	241	150	6.902	2.5478	2.2413	2.2765	Noun	339	0.96307	3.8396	1	14.67	4	6	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_4076_crab_high1	3450	11450
8938	8937	informant	33209	213	96	204	94	4.1765	2.3304	1.1445	1.9868	Noun	213	1	3.6222	3	65.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_8938_informant_low3	3500	11500
6012	6011	evidence	22523	4335	1755	4177	1721	85	3.6371	20.9227	3.2445	Noun	4332	1	4.9289	3	38.57	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_6012_evidence_high3	3450	11450
17590	17589	technician	65272	132	101	109	91	2.5882	2.1239	1.2041	2.0086	Noun	117	0.89313	3.4157	3	26.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_17590_technician_low3	3350	11350
